variant,check,target,actual,tolerance,passed
local,station_strictly_increasing,>0,0.044507184,0,True
local,minimum_raise_m,>=0,0.000000000,1e-7,True
local,unchanged_outside_modification_zone_m,0,0,1e-8,True
local,pier_control_max_error_m,0,3.01980662698e-14,1e-6,True
local,gross_area_at_wse_22.190_m2,5980.000,5980.000000000,1.0,True
local,blocked_obstruction_m2,280.000,280.000000000,0.01,True
local,net_area_at_wse_22.190_m2,5700.000,5700.000000000,1.0,True
local,maximum_raise_gradient_m_per_m,reported,0.499094462,n/a,True
center,station_strictly_increasing,>0,0.044507184,0,True
center,minimum_raise_m,>=0,0.000000000,1e-7,True
center,unchanged_outside_modification_zone_m,0,0,1e-8,True
center,pier_control_max_error_m,0,2.20268248086e-13,1e-6,True
center,gross_area_at_wse_22.190_m2,5980.000,5980.000000000,1.0,True
center,blocked_obstruction_m2,280.000,280.000000000,0.01,True
center,net_area_at_wse_22.190_m2,5700.000,5700.000000000,1.0,True
center,maximum_raise_gradient_m_per_m,reported,0.350694735,n/a,True
distributed,station_strictly_increasing,>0,0.044507184,0,True
distributed,minimum_raise_m,>=0,0.000000000,1e-7,True
distributed,unchanged_outside_modification_zone_m,0,0,1e-8,True
distributed,pier_control_max_error_m,0,3.30402372128e-13,1e-6,True
distributed,gross_area_at_wse_22.190_m2,5980.000,5980.000000000,1.0,True
distributed,blocked_obstruction_m2,280.000,280.000000000,0.01,True
distributed,net_area_at_wse_22.190_m2,5700.000,5700.000000000,1.0,True
distributed,maximum_raise_gradient_m_per_m,reported,0.202812121,n/a,True
