plan,short_id,case,blockage_m2,river_station,wse_m,energy_grade_m,flow_m3s,velocity_mps,flow_area_m2,hydraulic_depth_m,froude,delta_wse_vs_p01_m
p01,Current,现状河床线,360.000,1000,22.652805,23.160519,25999.994141,3.134915,8293.686,12.236248,0.286181,0.000000
p01,Current,现状河床线,360.000,600,22.384876,23.016581,25999.994141,3.487899,7454.344,13.017323,0.308704,0.000000
p01,Current,现状河床线,360.000,500,22.203979,22.964142,25999.994141,3.847231,6758.107,13.709913,0.331796,0.000000
p01,Current,现状河床线,360.000,400,22.317513,22.854197,25999.994141,3.242320,8018.949,10.648509,0.317286,0.000000
p01,Current,现状河床线,360.000,0,22.049231,22.705784,25999.994141,3.565636,7291.827,15.535205,0.288880,0.000000
p02,Protect05,0.5m防冲刷,380.000,1000,22.655313,23.162819,25999.994141,3.134273,8295.384,12.238320,0.286099,0.002508
p02,Protect05,0.5m防冲刷,380.000,600,22.387516,23.018965,25999.994141,3.487192,7455.856,13.019582,0.308615,0.002640
p02,Protect05,0.5m防冲刷,380.000,500,22.200783,22.965836,25999.994141,3.859572,6736.499,13.666533,0.333388,-0.003197
p02,Protect05,0.5m防冲刷,380.000,400,22.317513,22.854197,25999.994141,3.242320,8018.949,10.648509,0.317286,0.000000
p02,Protect05,0.5m防冲刷,380.000,0,22.049231,22.705784,25999.994141,3.565636,7291.827,15.535205,0.288880,0.000000
p03,Protect10,1.0m防冲刷,390.000,1000,22.656572,23.163975,25999.994141,3.133950,8296.239,12.239366,0.286057,0.003767
p03,Protect10,1.0m防冲刷,390.000,600,22.388845,23.020164,25999.994141,3.486837,7456.615,13.020716,0.308570,0.003969
p03,Protect10,1.0m防冲刷,390.000,500,22.199181,22.966690,25999.994141,3.865757,6725.721,13.644896,0.334187,-0.004799
p03,Protect10,1.0m防冲刷,390.000,400,22.317513,22.854197,25999.994141,3.242320,8018.949,10.648509,0.317286,0.000000
p03,Protect10,1.0m防冲刷,390.000,0,22.049231,22.705784,25999.994141,3.565636,7291.827,15.535205,0.288880,0.000000
p04,Protect20,2.0m防冲刷,410.000,1000,22.658895,23.166105,25999.994141,3.133356,8297.812,12.241286,0.285980,0.006090
p04,Protect20,2.0m防冲刷,410.000,600,22.391289,23.022373,25999.994141,3.486182,7458.016,13.022810,0.308487,0.006413
p04,Protect20,2.0m防冲刷,410.000,500,22.195702,22.968193,25999.994141,3.878273,6704.016,13.601357,0.335805,-0.008278
p04,Protect20,2.0m防冲刷,410.000,400,22.317513,22.854197,25999.994141,3.242320,8018.949,10.648509,0.317286,0.000000
p04,Protect20,2.0m防冲刷,410.000,0,22.049231,22.705784,25999.994141,3.565636,7291.827,15.535205,0.288880,0.000000
