point_index,station_m_raw_direction,elevation_m,cad_x,cad_y
0,0.0,23.3,391464.6997392006,3190410.873179401
1,18.311303373542614,23.3,391647.812772936,3190410.873179401
2,48.23210280647036,27.6,391947.0207672653,3190453.873179401
3,84.48783516249969,28.320000000018627,392309.5780908256,3190461.073179401
4,89.62480849561398,25.9,392360.9478241567,3190436.873179401
5,97.05439871246926,24.390000000037254,392435.2437263253,3190421.773179401
6,101.41534117318224,21.4,392478.8531509324,3190391.873179401
7,110.89833165738382,21.65,392573.6830557744,3190394.373179401
8,112.94901587794884,20.240000000037252,392594.1898979801,3190380.273179401
9,116.83679265383981,18.4,392633.067665739,3190361.873179401
10,135.28122862806194,16.210000000009313,392817.5120254812,3190339.973179401
11,137.08931459626183,13.5,392835.5928851632,3190312.873179401
12,165.8272389075486,8.624000000022352,393122.9721282761,3190264.113179401
13,181.9607570197084,6.112000000011176,393284.3073093977,3190238.993179401
14,201.84739734941394,3.943000000016764,393483.1737126947,3190217.303179401
15,231.95761515457417,0.8160000000149011,393784.2758907463,3190186.033179401
16,259.9110145402898,-0.002000000001862645,394063.8098846035,3190177.853179401
17,281.9544732894807,-0.5729999999981373,394284.2444720954,3190172.143179401
18,335.3159739318595,-0.48899999996647237,394817.8594785192,3190172.983179401
19,387.8581301959988,-0.04599999999627471,395343.2810411606,3190177.413179401
20,403.99164830815863,0.8050000000279397,395504.6162222822,3190185.923179401
21,423.87828863792237,2.6209999999962745,395703.4826255798,3190204.083179401
22,453.98850644307095,9.383000000007451,396004.5848036313,3190271.703179401
23,473.87514677278233,12.520999999996274,396203.4512069284,3190303.083179401
24,492.6894714644703,17.4,396391.5944538453,3190351.873179401
25,510.3574036018632,18.5,396568.2737752192,3190362.873179401
26,514.59582699709,18.23000000002794,396610.6580091715,3190360.173179401
27,543.8296306848235,18.1,396902.9960460488,3190358.873179401
28,562.7529765462793,19.5,397092.2295046634,3190372.873179401
29,576.8411202475836,19.620000000018628,397233.1109416764,3190374.073179401
30,587.5713841832301,23.4,397340.4135810329,3190411.873179401
31,594.5754427119333,23.4,397410.4541663199,3190411.873179401
32,601.4720281321497,20.03000000002794,397479.4200205221,3190378.173179401
33,643.8079114119115,18.220000000018626,397902.7788533197,3190360.073179401
34,684.5898251048523,18.040000000037253,398310.5979902491,3190358.273179401
