point_index,station_m_raw_direction,elevation_m,cad_x,cad_y
0,0.0,22.5,391460.0245868016,3189566.490337671
1,7.477090426493669,20.7,391534.7954910665,3189548.490337671
2,93.76765463689226,20.6,392397.7011331705,3189547.490337671
3,128.65360522358097,18.55,392746.5606390374,3189526.990337671
4,195.1940818506235,22.340000000037254,393411.9654053078,3189564.890337671
5,215.1254264027986,22.0,393611.2788508296,3189561.490337671
6,242.516151698248,17.7,393885.1861037841,3189518.490337671
7,270.1405937264324,12.4,394161.4305240659,3189465.490337671
8,291.9618030465499,6.367000000039115,394379.6426172671,3189405.160337671
9,320.0144137125637,3.884000000031665,394660.1687239272,3189380.330337671
10,355.9833324447915,0.6470000000204891,395019.8579112495,3189347.960337671
11,384.03594311075284,-0.036999999964609745,395300.3840179091,3189341.120337671
12,412.08855377672006,-0.8769999999552965,395580.9101245688,3189332.720337671
13,440.1411644426815,-0.8199999999720603,395861.4362312284,3189333.290337671
14,462.0837778422283,-0.25,396080.8623652239,3189338.990337671
15,484.02639124175187,0.2980000000447035,396300.2884992191,3189344.470337671
16,519.995309973968,0.9870000000111758,396659.9776865413,3189351.360337671
17,540.1316125737212,1.7290000000037253,396861.3407125388,3189358.780337671
18,562.074225972942,4.752000000001862,397080.766846531,3189389.010337671
19,577.9068421057484,5.295000000018627,397239.0930078591,3189394.440337671
20,590.1268366389501,9.237000000011175,397361.2929531911,3189433.860337671
21,612.0694500384619,13.149000000022351,397580.7190871862,3189472.980337671
22,626.2924716018199,13.020000000018626,397722.9493028198,3189471.690337671
23,627.9020661712682,12.957000000029803,397739.0452485143,3189471.060337671
24,638.8806367392826,17.3,397848.8309541944,3189514.490337671
25,654.3921149156697,17.78000000002794,398003.9457359583,3189519.290337671
26,664.038991561241,18.55,398100.414502414,3189526.990337671
27,670.5806923099386,18.020000000018626,398165.831509901,3189521.690337671
28,680.8341582139313,19.490000000037252,398268.3661689409,3189536.390337671
29,689.6173630147881,23.4,398356.1982169495,3189575.490337671
30,695.2236692875391,23.5,398412.261279677,3189576.490337671
31,700.4773039050226,21.35,398464.7976258518,3189554.990337671
32,721.3988498751598,18.33000000002794,398674.0130855532,3189524.790337671
33,745.7906707169022,17.45,398917.9312939706,3189515.990337671
34,766.1971267910209,17.410000000009312,399121.9958547118,3189515.590337671
35,766.4576595225487,17.41646560621448,399124.6011820271,3189515.654993733
