point_index,station_m_raw_direction,elevation_m,cad_x,cad_y,source_dxf,source_entity_handle,source_layer,source_label,geometry_source
0,0.000000000,28.194082684,-50013.012882408,61433.594826666,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
1,0.349022393,28.224201965,-50012.663860015,61433.624945946,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
2,10.704516961,28.224201965,-50002.308365447,61433.624945946,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
3,22.072389592,22.213403577,-49990.940492816,61427.614147559,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
4,75.086788749,13.865183740,-49937.926093660,61419.265927722,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
5,100.500882378,6.816604361,-49912.512000030,61412.217348343,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
6,104.847139248,5.540722778,-49908.165743160,61410.941466760,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
7,127.283119322,4.270000000,-49885.729763086,61409.670743982,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
8,129.328174428,4.270000000,-49883.684707980,61409.670743982,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
9,163.823361516,1.777735281,-49849.189520893,61407.178479262,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
10,237.245066966,5.400000000,-49775.767815442,61410.800743982,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
11,237.283119322,5.400000000,-49775.729763086,61410.800743982,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
12,248.101942907,5.809284175,-49764.910939501,61411.210028157,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
13,305.811462243,3.790781199,-49707.201420165,61409.191525180,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
14,320.021013341,4.775622636,-49692.991869067,61410.176366618,data/intermediate/dxf/original-fonts/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,450505,细虚线,中地面线（建设期),cad_direct_construction_period_ground_line
