point_index,station_m_raw_direction,elevation_m,cad_x,cad_y
0,0.0,27.979999999981374,391496.2307640212,3193615.113820825
1,16.92019066501525,28.020000000018626,391665.4326706714,3193615.513820825
2,28.46399629265652,17.9,391780.8707269478,3193514.313820825
3,58.11397191573633,16.4,392077.3704831786,3193499.313820825
4,76.05474431087495,11.2,392256.77820713,3193447.313820825
5,87.24707019740599,9.560000000009314,392368.7014659953,3193430.913820825
6,89.24703144691884,8.85,392388.7010784904,3193423.813820825
7,91.24683668741491,8.370000000018626,392408.6991308954,3193419.013820825
8,93.24679793725954,8.120000000018626,392428.6987433938,3193416.513820825
9,95.24675918676658,7.779999999981373,392448.6983558889,3193413.113820825
10,97.24672043632017,7.429999999981374,392468.6979683844,3193409.613820825
11,99.24730635047891,7.260000000009313,392488.703827526,3193407.913820825
12,101.24726760026533,7.129999999981374,392508.7034400239,3193406.613820825
13,103.24722884981892,6.839999999990686,392528.7030525194,3193403.713820825
14,105.24640918173827,6.310000000009313,392548.6948558386,3193398.413820825
15,107.24699509594939,6.0120000000111755,392568.7007149807,3193395.433820825
16,109.24695634573581,5.883000000007451,392588.7003274786,3193394.143820825
17,111.24691759524868,5.393999999994412,392608.6999399737,3193389.253820825
18,113.2468788447848,4.945000000018626,392628.6995524691,3193384.763820825
19,115.24746475894935,4.4959999999962745,392648.7054116107,3193380.273820825
20,117.24664509115973,4.047000000020489,392668.6972149328,3193375.783820825
21,119.24660634071915,3.8040000000037253,392688.6968274284,3193373.353820825
22,121.24656759022037,4.058000000007451,392708.6964399234,3193375.893820825
23,123.24715350441984,3.5,392728.7022990654,3193370.313820825
24,125.24711475420627,2.5200000000186265,392748.7019115633,3193360.513820825
25,127.24707600371912,1.9899999999906868,392768.7015240584,3193355.213820825
26,129.24625633597606,2.2600000000093132,392788.693327381,3193357.913820825
27,131.2468422501348,2.3260000000242145,392808.6991865226,3193358.573820825
28,133.246803499636,1.922000000020489,392828.6987990176,3193354.533820825
29,135.2467647491896,1.5180000000167637,392848.6984115131,3193350.493820825
