point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
0,0.000000000,27.980000000,27.980000000,0.000000000,0,center,constraint_reconstruction
1,16.920190665,28.020000000,28.020000000,0.000000000,0,center,constraint_reconstruction
2,28.463996293,17.900000000,17.900000000,0.000000000,0,center,constraint_reconstruction
3,58.113971916,16.400000000,16.400000000,0.000000000,0,center,constraint_reconstruction
4,76.054744311,11.200000000,11.200000000,0.000000000,0,center,constraint_reconstruction
5,78.000000000,11.579555480,10.914963685,0.664591795,1,center,constraint_reconstruction
6,80.000000000,11.987887007,10.621905742,1.365981265,1,center,constraint_reconstruction
7,82.000000000,12.338679168,10.328847799,2.009831369,1,center,constraint_reconstruction
8,84.000000000,12.592034547,10.035789856,2.556244691,1,center,constraint_reconstruction
9,86.000000000,12.733741576,9.742731913,2.991009663,1,center,constraint_reconstruction
10,87.247070197,12.766971005,9.560000000,3.206971005,1,center,constraint_reconstruction
11,88.000000000,12.610834827,9.292704741,3.318130086,1,center,constraint_reconstruction
12,89.247031447,12.322043372,8.850000000,3.472043372,1,center,constraint_reconstruction
13,90.000000000,12.217950970,8.669269948,3.548681022,1,center,constraint_reconstruction
14,91.246836687,12.020670478,8.370000000,3.650670478,1,center,constraint_reconstruction
15,92.000000000,11.975211162,8.275852762,3.699358400,1,center,constraint_reconstruction
16,93.246797937,11.880668059,8.120000000,3.760668059,1,center,constraint_reconstruction
17,94.000000000,11.780025225,7.991953168,3.788072056,1,center,constraint_reconstruction
18,95.246759187,11.599369599,7.780000000,3.819369599,1,center,constraint_reconstruction
19,96.000000000,11.479681994,7.648180304,3.831501691,1,center,constraint_reconstruction
20,97.246720436,11.271894467,7.430000000,3.841894467,1,center,constraint_reconstruction
21,98.000000000,11.209635877,7.365989989,3.843645887,1,center,constraint_reconstruction
22,99.247306350,11.100159541,7.260000000,3.840159541,1,center,constraint_reconstruction
23,100.000000000,11.046174520,7.211073965,3.835100555,1,center,constraint_reconstruction
24,101.247267600,10.952507096,7.130000000,3.822507096,1,center,constraint_reconstruction
25,102.000000000,10.833697553,7.020851687,3.812845866,1,center,constraint_reconstruction
26,103.247228850,10.633708295,6.840000000,3.793708295,1,center,constraint_reconstruction
27,104.000000000,10.420802503,6.640433856,3.780368647,1,center,constraint_reconstruction
28,105.246409182,10.065252602,6.310000000,3.755252602,1,center,constraint_reconstruction
29,106.000000000,9.935760182,6.197747853,3.738012329,1,center,constraint_reconstruction
30,107.246995096,9.717728212,6.012000000,3.705728212,1,center,constraint_reconstruction
31,108.000000000,9.646926404,5.963430243,3.683496162,1,center,constraint_reconstruction
32,109.246956346,9.524593305,5.883000000,3.641593305,1,center,constraint_reconstruction
33,110.000000000,9.311474129,5.698877259,3.612596870,1,center,constraint_reconstruction
34,111.246917595,8.951828196,5.394000000,3.557828196,1,center,constraint_reconstruction
35,112.000000000,8.744958907,5.224929724,3.520029183,1,center,constraint_reconstruction
36,113.246878845,8.394041317,4.945000000,3.449041317,1,center,constraint_reconstruction
37,114.000000000,8.176563948,4.775973818,3.400590130,1,center,constraint_reconstruction
38,115.247464759,7.806758000,4.496000000,3.310758000,1,center,constraint_reconstruction
39,116.000000000,7.577636660,4.326986571,3.250650089,1,center,constraint_reconstruction
40,117.246645091,7.188423758,4.047000000,3.141423758,1,center,constraint_reconstruction
41,118.000000000,7.025535894,3.955465605,3.070070289,1,center,constraint_reconstruction
42,119.246606341,6.748083216,3.804000000,2.944083216,1,center,constraint_reconstruction
43,120.000000000,6.764285793,3.899682849,2.864602945,1,center,constraint_reconstruction
44,121.246567590,6.787644471,4.058000000,2.729644471,1,center,constraint_reconstruction
45,122.000000000,6.496623389,3.847853921,2.648769467,1,center,constraint_reconstruction
46,123.247153504,6.019662058,3.500000000,2.519662058,1,center,constraint_reconstruction
47,124.000000000,5.580217796,3.131098070,2.449119726,1,center,constraint_reconstruction
48,125.247114754,4.870058123,2.520000000,2.350058123,1,center,constraint_reconstruction
49,126.000000000,4.628120352,2.320481544,2.307638808,1,center,constraint_reconstruction
50,127.247076004,4.263999731,1.990000000,2.273999731,1,center,constraint_reconstruction
51,127.291583188,4.270000000,1.996010933,2.273989067,1,center,constraint_reconstruction
52,128.000000000,4.376671143,2.091686414,2.284984729,1,center,constraint_reconstruction
53,129.246256336,4.606585097,2.260000000,2.346585097,1,center,constraint_reconstruction
54,130.000000000,4.686567011,2.284866256,2.401700755,1,center,constraint_reconstruction
55,131.246842250,4.841320549,2.326000000,2.515320549,1,center,constraint_reconstruction
56,132.000000000,4.765410905,2.173859187,2.591551718,1,center,constraint_reconstruction
57,133.246803500,4.647403161,1.922000000,2.725403161,1,center,constraint_reconstruction
58,134.000000000,4.576776794,1.769851359,2.806925435,1,center,constraint_reconstruction
59,135.246764749,4.457838643,1.518000000,2.939838643,1,center,constraint_reconstruction
60,136.000000000,4.356023456,1.339479787,3.016543669,1,center,constraint_reconstruction
61,137.246725999,4.179819439,1.044000000,3.135819439,1,center,constraint_reconstruction
62,138.000000000,4.284854270,1.082782250,3.202072020,1,center,constraint_reconstruction
