point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
0,0.000000000,27.980000000,27.980000000,0.000000000,0,distributed,constraint_reconstruction
1,16.920190665,28.020000000,28.020000000,0.000000000,0,distributed,constraint_reconstruction
2,28.463996293,17.900000000,17.900000000,0.000000000,0,distributed,constraint_reconstruction
3,58.113971916,16.400000000,16.400000000,0.000000000,0,distributed,constraint_reconstruction
4,60.000000000,16.219159434,15.853348729,0.365810706,1,distributed,constraint_reconstruction
5,62.000000000,16.045098490,15.273663542,0.771434948,1,distributed,constraint_reconstruction
6,64.000000000,15.864794327,14.693978355,1.170815972,1,distributed,constraint_reconstruction
7,66.000000000,15.661101813,14.114293168,1.546808645,1,distributed,constraint_reconstruction
8,68.000000000,15.422922964,13.534607981,1.888314984,1,distributed,constraint_reconstruction
9,70.000000000,15.144003775,12.954922794,2.189080981,1,distributed,constraint_reconstruction
10,72.000000000,14.821841392,12.375237607,2.446603785,1,distributed,constraint_reconstruction
11,74.000000000,14.456721668,11.795552420,2.661169248,1,distributed,constraint_reconstruction
12,76.000000000,14.050895087,11.215867233,2.835027854,1,distributed,constraint_reconstruction
13,76.054744311,14.039263985,11.200000000,2.839263985,1,distributed,constraint_reconstruction
14,78.000000000,13.886723695,10.914963685,2.971760010,1,distributed,constraint_reconstruction
15,80.000000000,13.697406523,10.621905742,3.075500781,1,distributed,constraint_reconstruction
16,82.000000000,13.479688103,10.328847799,3.150840304,1,distributed,constraint_reconstruction
17,84.000000000,13.238054116,10.035789856,3.202264260,1,distributed,constraint_reconstruction
18,86.000000000,12.976701316,9.742731913,3.233969402,1,distributed,constraint_reconstruction
19,87.247070197,12.805652402,9.560000000,3.245652402,1,distributed,constraint_reconstruction
20,88.000000000,12.542790217,9.292704741,3.250085476,1,distributed,constraint_reconstruction
21,89.247031447,12.103439075,8.850000000,3.253439075,1,distributed,constraint_reconstruction
22,90.000000000,11.922641666,8.669269948,3.253371718,1,distributed,constraint_reconstruction
23,91.246836687,11.620075742,8.370000000,3.250075742,1,distributed,constraint_reconstruction
24,92.000000000,11.522257481,8.275852762,3.246404719,1,distributed,constraint_reconstruction
25,93.246797937,11.357754631,8.120000000,3.237754631,1,distributed,constraint_reconstruction
26,94.000000000,11.223101008,7.991953168,3.231147840,1,distributed,constraint_reconstruction
27,95.246759187,10.998065482,7.780000000,3.218065482,1,distributed,constraint_reconstruction
28,96.000000000,10.857153145,7.648180304,3.208972842,1,distributed,constraint_reconstruction
29,97.246720436,10.622033926,7.430000000,3.192033926,1,distributed,constraint_reconstruction
30,98.000000000,10.546698158,7.365989989,3.180708169,1,distributed,constraint_reconstruction
31,99.247306350,10.420173122,7.260000000,3.160173122,1,distributed,constraint_reconstruction
32,100.000000000,10.357783556,7.211073965,3.146709591,1,distributed,constraint_reconstruction
33,101.247267600,10.252608416,7.130000000,3.122608416,1,distributed,constraint_reconstruction
34,102.000000000,10.127802230,7.020851687,3.106950542,1,distributed,constraint_reconstruction
35,103.247228850,9.919119474,6.840000000,3.079119474,1,distributed,constraint_reconstruction
36,104.000000000,9.701564752,6.640433856,3.061130895,1,distributed,constraint_reconstruction
37,105.246409182,9.339319398,6.310000000,3.029319398,1,distributed,constraint_reconstruction
38,106.000000000,9.206552150,6.197747853,3.008804297,1,distributed,constraint_reconstruction
39,107.246995096,8.984686037,6.012000000,2.972686037,1,distributed,constraint_reconstruction
40,108.000000000,8.912955296,5.963430243,2.949525054,1,distributed,constraint_reconstruction
41,109.246956346,8.791910682,5.883000000,2.908910682,1,distributed,constraint_reconstruction
42,110.000000000,8.581892870,5.698877259,2.883015611,1,distributed,constraint_reconstruction
43,111.246917595,8.231898461,5.394000000,2.837898461,1,distributed,constraint_reconstruction
44,112.000000000,8.034286161,5.224929724,2.809356436,1,distributed,constraint_reconstruction
45,113.246878845,7.705059031,4.945000000,2.760059031,1,distributed,constraint_reconstruction
46,114.000000000,7.505172621,4.775973818,2.729198803,1,distributed,constraint_reconstruction
47,115.247464759,7.172490167,4.496000000,2.676490167,1,distributed,constraint_reconstruction
48,116.000000000,6.970986761,4.326986571,2.644000190,1,distributed,constraint_reconstruction
49,117.246645091,6.636367708,4.047000000,2.589367708,1,distributed,constraint_reconstruction
50,118.000000000,6.511746158,3.955465605,2.556280553,1,distributed,constraint_reconstruction
51,119.246606341,6.305915692,3.804000000,2.501915692,1,distributed,constraint_reconstruction
52,120.000000000,6.369576344,3.899682849,2.469893495,1,distributed,constraint_reconstruction
53,121.246567590,6.476993845,4.058000000,2.418993845,1,distributed,constraint_reconstruction
54,122.000000000,6.238159835,3.847853921,2.390305913,1,distributed,constraint_reconstruction
55,123.247153504,5.847193956,3.500000000,2.347193956,1,distributed,constraint_reconstruction
56,124.000000000,5.455970035,3.131098070,2.324871965,1,distributed,constraint_reconstruction
57,125.247114754,4.815224536,2.520000000,2.295224536,1,distributed,constraint_reconstruction
58,126.000000000,4.603567413,2.320481544,2.283085868,1,distributed,constraint_reconstruction
59,127.247076004,4.263997473,1.990000000,2.273997473,1,distributed,constraint_reconstruction
60,127.291583188,4.270000000,1.996010933,2.273989067,1,distributed,constraint_reconstruction
61,128.000000000,4.368495041,2.091686414,2.276808627,1,distributed,constraint_reconstruction
62,129.246256336,4.553695183,2.260000000,2.293695183,1,distributed,constraint_reconstruction
63,130.000000000,4.594598374,2.284866256,2.309732118,1,distributed,constraint_reconstruction
64,131.246842250,4.670483457,2.326000000,2.344483457,1,distributed,constraint_reconstruction
65,132.000000000,4.543028968,2.173859187,2.369169781,1,distributed,constraint_reconstruction
66,133.246803500,4.337016152,1.922000000,2.415016152,1,distributed,constraint_reconstruction
67,134.000000000,4.214565065,1.769851359,2.444713706,1,distributed,constraint_reconstruction
68,135.246764749,4.014299915,1.518000000,2.496299915,1,distributed,constraint_reconstruction
69,136.000000000,3.867642667,1.339479787,2.528162880,1,distributed,constraint_reconstruction
70,137.246725999,3.625391184,1.044000000,2.581391184,1,distributed,constraint_reconstruction
71,138.000000000,3.696066270,1.082782250,2.613284020,1,distributed,constraint_reconstruction
72,139.247311913,3.812176153,1.147000000,2.665176153,1,distributed,constraint_reconstruction
73,140.000000000,3.792868654,1.097321624,2.695547030,1,distributed,constraint_reconstruction
74,141.247273163,3.758995771,1.015000000,2.743995771,1,distributed,constraint_reconstruction
75,142.000000000,3.778946959,1.007093128,2.771853832,1,distributed,constraint_reconstruction
76,143.246453495,3.809511892,0.994000000,2.815511892,1,distributed,constraint_reconstruction
77,144.000000000,3.825990132,0.985713416,2.840276716,1,distributed,constraint_reconstruction
