point_index,station_m_raw_direction,elevation_m,current_elevation_m,raise_m,modified,variant,geometry_source
0,0.000000000,27.980000000,27.980000000,0.000000000,0,local,constraint_reconstruction
1,16.920190665,28.020000000,28.020000000,0.000000000,0,local,constraint_reconstruction
2,28.463996293,17.900000000,17.900000000,0.000000000,0,local,constraint_reconstruction
3,58.113971916,16.400000000,16.400000000,0.000000000,0,local,constraint_reconstruction
4,76.054744311,11.200000000,11.200000000,0.000000000,0,local,constraint_reconstruction
5,87.247070197,9.560000000,9.560000000,0.000000000,0,local,constraint_reconstruction
6,88.000000000,9.637169567,9.292704741,0.344464826,1,local,constraint_reconstruction
7,89.247031447,9.816851315,8.850000000,0.966851315,1,local,constraint_reconstruction
8,90.000000000,10.010697860,8.669269948,1.341427912,1,local,constraint_reconstruction
9,91.246836687,10.306275635,8.370000000,1.936275635,1,local,constraint_reconstruction
10,92.000000000,10.540695660,8.275852762,2.264842898,1,local,constraint_reconstruction
11,93.246797937,10.868565939,8.120000000,2.748565939,1,local,constraint_reconstruction
12,94.000000000,10.992193751,7.991953168,3.000240582,1,local,constraint_reconstruction
13,95.246759187,11.129115805,7.780000000,3.349115805,1,local,constraint_reconstruction
14,96.000000000,11.169352936,7.648180304,3.521172632,1,local,constraint_reconstruction
15,97.246720436,11.175761515,7.430000000,3.745761515,1,local,constraint_reconstruction
16,98.000000000,11.216141386,7.365989989,3.850151397,1,local,constraint_reconstruction
17,99.247306350,11.236670475,7.260000000,3.976670475,1,local,constraint_reconstruction
18,100.000000000,11.241793074,7.211073965,4.030719110,1,local,constraint_reconstruction
19,101.247267600,11.218719179,7.130000000,4.088719179,1,local,constraint_reconstruction
20,102.000000000,11.130484439,7.020851687,4.109632752,1,local,constraint_reconstruction
21,103.247228850,10.965285507,6.840000000,4.125285507,1,local,constraint_reconstruction
22,104.000000000,10.767366879,6.640433856,4.126933022,1,local,constraint_reconstruction
23,105.246409182,10.429689072,6.310000000,4.119689072,1,local,constraint_reconstruction
24,106.000000000,10.309235081,6.197747853,4.111487228,1,local,constraint_reconstruction
25,107.246995096,10.105089533,6.012000000,4.093089533,1,local,constraint_reconstruction
26,108.000000000,10.043311673,5.963430243,4.079881430,1,local,constraint_reconstruction
27,109.246956346,9.937722220,5.883000000,4.054722220,1,local,constraint_reconstruction
28,110.000000000,9.736023619,5.698877259,4.037146360,1,local,constraint_reconstruction
29,111.246917595,9.397195900,5.394000000,4.003195900,1,local,constraint_reconstruction
30,112.000000000,9.203338270,5.224929724,3.978408546,1,local,constraint_reconstruction
31,113.246878845,8.873577182,4.945000000,3.928577182,1,local,constraint_reconstruction
32,114.000000000,8.667174980,4.775973818,3.891201162,1,local,constraint_reconstruction
33,115.247464759,8.311152681,4.496000000,3.815152681,1,local,constraint_reconstruction
34,116.000000000,8.085662588,4.326986571,3.758676017,1,local,constraint_reconstruction
35,117.246645091,7.692735907,4.047000000,3.645735907,1,local,constraint_reconstruction
36,118.000000000,7.519823437,3.955465605,3.564357832,1,local,constraint_reconstruction
37,119.246606341,7.211338912,3.804000000,3.407338912,1,local,constraint_reconstruction
38,120.000000000,7.199004868,3.899682849,3.299322019,1,local,constraint_reconstruction
39,121.246567590,7.158798014,4.058000000,3.100798014,1,local,constraint_reconstruction
40,122.000000000,6.820466317,3.847853921,2.972612395,1,local,constraint_reconstruction
41,123.247153504,6.253110352,3.500000000,2.753110352,1,local,constraint_reconstruction
42,124.000000000,5.756419321,3.131098070,2.625321251,1,local,constraint_reconstruction
43,125.247114754,4.954138636,2.520000000,2.434138636,1,local,constraint_reconstruction
44,126.000000000,4.668245631,2.320481544,2.347764086,1,local,constraint_reconstruction
45,127.247076004,4.264027582,1.990000000,2.274027582,1,local,constraint_reconstruction
46,127.291583188,4.270000000,1.996010933,2.273989067,1,local,constraint_reconstruction
47,128.000000000,4.389493783,2.091686414,2.297807369,1,local,constraint_reconstruction
48,129.246256336,4.685785220,2.260000000,2.425785220,1,local,constraint_reconstruction
49,130.000000000,4.818436040,2.284866256,2.533569783,1,local,constraint_reconstruction
50,131.246842250,5.069836723,2.326000000,2.743836723,1,local,constraint_reconstruction
51,132.000000000,5.049985711,2.173859187,2.876126524,1,local,constraint_reconstruction
52,133.246803500,5.015429472,1.922000000,3.093429472,1,local,constraint_reconstruction
53,134.000000000,4.986281810,1.769851359,3.216430451,1,local,constraint_reconstruction
54,135.246764749,4.919595293,1.518000000,3.401595293,1,local,constraint_reconstruction
55,136.000000000,4.839174386,1.339479787,3.499694600,1,local,constraint_reconstruction
56,137.246725999,4.682185883,1.044000000,3.638185883,1,local,constraint_reconstruction
57,138.000000000,4.790357235,1.082782250,3.707574986,1,local,constraint_reconstruction
58,139.247311913,4.946746684,1.147000000,3.799746684,1,local,constraint_reconstruction
59,140.000000000,4.940496596,1.097321624,3.843174973,1,local,constraint_reconstruction
60,141.247273163,4.911745042,1.015000000,3.896745042,1,local,constraint_reconstruction
61,142.000000000,4.927031291,1.007093128,3.919938163,1,local,constraint_reconstruction
62,143.246453495,4.939172229,0.994000000,3.945172229,1,local,constraint_reconstruction
63,144.000000000,4.940043946,0.985713416,3.954330530,1,local,constraint_reconstruction
64,145.247039409,4.933100690,0.972000000,3.961100690,1,local,constraint_reconstruction
65,146.000000000,4.925733294,0.964093761,3.961639534,1,local,constraint_reconstruction
66,147.247000659,4.908953937,0.951000000,3.957953937,1,local,constraint_reconstruction
67,148.000000000,4.897141732,0.943093354,3.954048378,1,local,constraint_reconstruction
68,149.246961908,4.875679601,0.930000000,3.945679601,1,local,constraint_reconstruction
69,150.000000000,4.862260082,0.922092947,3.940167135,1,local,constraint_reconstruction
70,151.246923158,4.839804364,0.909000000,3.930804364,1,local,constraint_reconstruction
71,152.000000000,4.826479418,0.901095009,3.925384409,1,local,constraint_reconstruction
72,153.247509072,4.805053010,0.888000000,3.917053010,1,local,constraint_reconstruction
73,154.000000000,4.792669595,0.880095606,3.912573989,1,local,constraint_reconstruction
74,155.246689404,4.773138971,0.867000000,3.906138971,1,local,constraint_reconstruction
75,156.000000000,4.761955773,0.859090085,3.902865688,1,local,constraint_reconstruction
76,157.246650654,4.744444496,0.846000000,3.898444496,1,local,constraint_reconstruction
77,158.000000000,4.734410950,0.838089679,3.896321272,1,local,constraint_reconstruction
78,159.246611903,4.718644914,0.825000000,3.893644914,1,local,constraint_reconstruction
79,160.000000000,4.668872853,0.776420699,3.892452154,1,local,constraint_reconstruction
80,161.247197817,4.587097323,0.696000000,3.891097323,1,local,constraint_reconstruction
81,162.000000000,4.569633146,0.679061623,3.890571523,1,local,constraint_reconstruction
82,163.247159067,4.541107845,0.651000000,3.890107845,1,local,constraint_reconstruction
83,164.000000000,4.526324260,0.636319317,3.890004942,1,local,constraint_reconstruction
84,165.247120317,4.502067530,0.612000000,3.890067530,1,local,constraint_reconstruction
85,166.000000000,4.522154474,0.631959492,3.890194982,1,local,constraint_reconstruction
86,167.246300649,4.555512280,0.665000000,3.890512280,1,local,constraint_reconstruction
87,168.000000000,4.545562928,0.654828039,3.890734889,1,local,constraint_reconstruction
88,169.246886563,4.529127927,0.638000000,3.891127927,1,local,constraint_reconstruction
89,170.000000000,4.521829776,0.630468720,3.891361056,1,local,constraint_reconstruction
90,171.246847813,4.509726353,0.618000000,3.891726353,1,local,constraint_reconstruction
91,172.000000000,4.523859373,0.631933585,3.891925788,1,local,constraint_reconstruction
92,173.246809062,4.547215810,0.655000000,3.892215810,1,local,constraint_reconstruction
93,174.000000000,4.547741475,0.655376603,3.892364872,1,local,constraint_reconstruction
94,175.246770312,4.548568654,0.656000000,3.892568654,1,local,constraint_reconstruction
95,176.000000000,4.549420860,0.656753009,3.892667851,1,local,constraint_reconstruction
96,177.247356226,4.550795638,0.658000000,3.892795638,1,local,constraint_reconstruction
97,178.000000000,4.551230985,0.658376329,3.892854656,1,local,constraint_reconstruction
98,179.247317476,4.551926791,0.659000000,3.892926791,1,local,constraint_reconstruction
99,180.000000000,4.552335828,0.659376496,3.892959332,1,local,constraint_reconstruction
100,181.246497808,4.552999508,0.660000000,3.892999508,1,local,constraint_reconstruction
101,182.000000000,4.540586827,0.647566973,3.893019854,1,local,constraint_reconstruction
102,183.246459057,4.520051093,0.627000000,3.893051093,1,local,constraint_reconstruction
103,184.000000000,4.508019177,0.614946876,3.893072301,1,local,constraint_reconstruction
104,185.247044971,4.488114615,0.595000000,3.893114614,1,local,constraint_reconstruction
105,186.000000000,4.479111771,0.585964365,3.893147407,1,local,constraint_reconstruction
106,187.247006221,4.464215986,0.571000000,3.893215986,1,local,constraint_reconstruction
107,188.000000000,4.455231472,0.561963900,3.893267573,1,local,constraint_reconstruction
108,189.246967471,4.440370480,0.547000000,3.893370480,1,local,constraint_reconstruction
109,190.000000000,4.431408972,0.537966256,3.893442716,1,local,constraint_reconstruction
110,191.247553385,4.416577234,0.523000000,3.893577234,1,local,constraint_reconstruction
111,192.000000000,4.407630739,0.513966939,3.893663800,1,local,constraint_reconstruction
112,193.246733717,4.392810657,0.499000000,3.893810657,1,local,constraint_reconstruction
113,194.000000000,4.383854174,0.489960629,3.893893545,1,local,constraint_reconstruction
114,195.246694966,4.369010356,0.475000000,3.894010356,1,local,constraint_reconstruction
115,196.000000000,4.362651655,0.468596783,3.894054872,1,local,constraint_reconstruction
116,197.246656216,4.352068232,0.458000000,3.894068232,1,local,constraint_reconstruction
117,198.000000000,4.236038164,0.342019035,3.894019129,1,local,constraint_reconstruction
118,199.247242130,4.043818797,0.150000000,3.893818797,1,local,constraint_reconstruction
119,200.000000000,3.889279946,-0.004318353,3.893598299,1,local,constraint_reconstruction
120,201.247203380,3.633037384,-0.260000000,3.893037384,1,local,constraint_reconstruction
121,202.000000000,3.410468752,-0.482079306,3.892548057,1,local,constraint_reconstruction
122,203.247164630,3.041454534,-0.850000000,3.891454534,1,local,constraint_reconstruction
123,204.000000000,2.901260129,-0.989331646,3.890591775,1,local,constraint_reconstruction
124,205.246344961,2.668800753,-1.220000000,3.888800753,1,local,constraint_reconstruction
125,206.000000000,2.445591850,-1.441886406,3.887478256,1,local,constraint_reconstruction
126,207.246930876,2.075886648,-1.809000000,3.884886648,1,local,constraint_reconstruction
127,208.000000000,2.152784955,-1.730302752,3.883087707,1,local,constraint_reconstruction
128,209.246892125,2.279757055,-1.600000000,3.879757055,1,local,constraint_reconstruction
129,210.000000000,2.383035656,-1.494562855,3.877598511,1,local,constraint_reconstruction
130,211.246853375,2.553888611,-1.320000000,3.873888611,1,local,constraint_reconstruction
131,212.000000000,2.879345482,-0.992374870,3.871720352,1,local,constraint_reconstruction
132,213.246814624,3.418465628,-0.450000000,3.868465628,1,local,constraint_reconstruction
133,214.000000000,3.631577544,-0.235405035,3.866982579,1,local,constraint_reconstruction
134,215.247400539,3.985684388,0.120000000,3.865684388,1,local,constraint_reconstruction
135,216.000000000,4.068825614,0.202787545,3.866038069,1,local,constraint_reconstruction
136,217.247361788,4.209032240,0.340000000,3.869032240,1,local,constraint_reconstruction
137,218.000000000,4.231723338,0.358823670,3.872899669,1,local,constraint_reconstruction
138,219.246542120,4.273398620,0.390000000,3.883398620,1,local,constraint_reconstruction
139,220.000000000,4.290500179,0.397534725,3.892965454,1,local,constraint_reconstruction
140,221.246503370,4.324896312,0.410000000,3.914896312,1,local,constraint_reconstruction
141,222.000000000,4.550522307,0.617904163,3.932618144,1,local,constraint_reconstruction
142,223.247089284,4.932047797,0.962000000,3.970047797,1,local,constraint_reconstruction
143,224.000000000,4.953715469,0.955600135,3.998115334,1,local,constraint_reconstruction
144,225.247050534,4.999003994,0.945000000,4.054003994,1,local,constraint_reconstruction
145,226.000000000,4.956739148,0.863303400,4.093435748,1,local,constraint_reconstruction
146,227.247011783,4.895667049,0.728000000,4.167667049,1,local,constraint_reconstruction
147,228.000000000,4.954548642,0.737789036,4.216759605,1,local,constraint_reconstruction
148,229.246973033,5.057147830,0.754000000,4.303147830,1,local,constraint_reconstruction
149,230.000000000,5.096592880,0.741197295,4.355395585,1,local,constraint_reconstruction
150,231.246778274,5.157755805,0.720000000,4.437755805,1,local,constraint_reconstruction
151,232.000000000,5.330344538,0.851063120,4.479281419,1,local,constraint_reconstruction
152,233.246739523,5.594959862,1.068000000,4.526959862,1,local,constraint_reconstruction
153,233.855335041,5.400000000,0.866246677,4.533753323,1,local,constraint_reconstruction
154,234.000000000,5.351674726,0.818289314,4.533385412,1,local,constraint_reconstruction
155,235.246700773,4.905198299,0.405000000,4.500198299,1,local,constraint_reconstruction
156,236.000000000,5.288464748,0.824219142,4.464245606,1,local,constraint_reconstruction
157,237.246662023,5.904702781,1.518000000,4.386702781,1,local,constraint_reconstruction
158,238.000000000,5.888819307,1.553396515,4.335422792,1,local,constraint_reconstruction
159,239.247247937,5.860138105,1.612000000,4.248138105,1,local,constraint_reconstruction
160,240.000000000,5.824624929,1.627055333,4.197569596,1,local,constraint_reconstruction
161,241.247209186,5.771718119,1.652000000,4.119718119,1,local,constraint_reconstruction
162,242.000000000,5.803597656,1.725803747,4.077793909,1,local,constraint_reconstruction
163,243.246389518,5.865536861,1.848000000,4.017536861,1,local,constraint_reconstruction
164,244.000000000,5.808092404,1.821254663,3.986837741,1,local,constraint_reconstruction
165,245.246975432,5.722337612,1.777000000,3.945337612,1,local,constraint_reconstruction
166,246.000000000,5.649687813,1.724287259,3.925400554,1,local,constraint_reconstruction
167,247.246936682,5.537219062,1.637000000,3.900219062,1,local,constraint_reconstruction
168,248.000000000,5.506783844,1.617796513,3.888987331,1,local,constraint_reconstruction
169,249.246897932,5.462196672,1.586000000,3.876196672,1,local,constraint_reconstruction
170,250.000000000,5.437632681,1.566418967,3.871213714,1,local,constraint_reconstruction
171,251.246859181,5.400791668,1.534000000,3.866791669,1,local,constraint_reconstruction
172,252.000000000,5.380588912,1.514800534,3.865788379,1,local,constraint_reconstruction
173,253.247445095,5.349326670,1.483000000,3.866326670,1,local,constraint_reconstruction
174,254.000000000,5.331310175,1.463809478,3.867500697,1,local,constraint_reconstruction
175,255.247406345,5.302460102,1.432000000,3.870460102,1,local,constraint_reconstruction
176,256.000000000,5.285343170,1.412800993,3.872542176,1,local,constraint_reconstruction
177,257.246586677,5.257237669,1.381000000,3.876237669,1,local,constraint_reconstruction
178,258.000000000,5.248138054,1.369698581,3.878439473,1,local,constraint_reconstruction
179,259.246547927,5.232901356,1.351000000,3.881901356,1,local,constraint_reconstruction
180,260.000000000,5.178685297,1.294884260,3.883801036,1,local,constraint_reconstruction
181,261.247133841,5.088577352,1.202000000,3.886577352,1,local,constraint_reconstruction
182,262.000000000,4.995900831,1.107889907,3.888010924,1,local,constraint_reconstruction
183,263.247095091,4.841983580,0.952000000,3.889983580,1,local,constraint_reconstruction
184,264.000000000,4.751090563,0.860143821,3.890946742,1,local,constraint_reconstruction
185,265.247056340,4.600188878,0.708000000,3.892188878,1,local,constraint_reconstruction
186,266.000000000,4.515671607,0.622915718,3.892755889,1,local,constraint_reconstruction
187,267.247017590,4.375424512,0.482000000,3.893424512,1,local,constraint_reconstruction
188,268.000000000,4.392641761,0.498943754,3.893698007,1,local,constraint_reconstruction
189,269.246822830,4.420966724,0.527000000,3.893966724,1,local,constraint_reconstruction
190,270.000000000,4.359661723,0.465614871,3.894046852,1,local,constraint_reconstruction
191,271.246784080,4.258069202,0.364000000,3.894069202,1,local,constraint_reconstruction
192,272.000000000,4.269713388,0.375675073,3.894038315,1,local,constraint_reconstruction
193,273.246745330,4.288932357,0.395000000,3.893932357,1,local,constraint_reconstruction
194,274.000000000,4.307305445,0.413455097,3.893850348,1,local,constraint_reconstruction
195,275.246706579,4.337696799,0.444000000,3.893696799,1,local,constraint_reconstruction
196,276.000000000,4.353416832,0.459814529,3.893602304,1,local,constraint_reconstruction
197,277.247292494,4.379449611,0.486000000,3.893449611,1,local,constraint_reconstruction
198,278.000000000,4.395171373,0.501807164,3.893364210,1,local,constraint_reconstruction
199,279.247253743,4.421236682,0.528000000,3.893236682,1,local,constraint_reconstruction
200,280.000000000,4.436983723,0.543814153,3.893169570,1,local,constraint_reconstruction
201,281.246434075,4.463075171,0.570000000,3.893075171,1,local,constraint_reconstruction
202,282.000000000,4.481490573,0.588462723,3.893027850,1,local,constraint_reconstruction
203,283.246395325,4.511964853,0.619000000,3.892964853,1,local,constraint_reconstruction
204,284.000000000,4.522858866,0.629924068,3.892934799,1,local,constraint_reconstruction
205,285.246981239,4.540897026,0.648000000,3.892897026,1,local,constraint_reconstruction
206,286.000000000,4.538620941,0.645740900,3.892880041,1,local,constraint_reconstruction
207,287.246942489,4.534860239,0.642000000,3.892860239,1,local,constraint_reconstruction
208,288.000000000,4.532592885,0.639740784,3.892852102,1,local,constraint_reconstruction
209,289.246903738,4.528843936,0.636000000,3.892843936,1,local,constraint_reconstruction
