file,encoding,section,block,kind,handle,layer,cad_x,cad_y,matched_keywords,text
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,401006,文字,5.0,-8.004189944134851,桥墩,桥墩 编号
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,401007,文字,17.5,-8.004189944134851,标高,设计桩底标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,401008,文字,32.5,-8.004189944134851,标高,设计泥面标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,401009,文字,48.0,-8.004189944134851,标高,25年实测泥面标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,40100A,文字,65.0,-8.004189944134851,标高,设计最大冲刷线标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,40100C,文字,93.5,-8.004189944134851,桩基,桩基实际埋深（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,40100D,文字,108.5,-8.004189944134851,高程,平均泥面高程（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,40100E,文字,5.0,-18.7583798882697,15#,L15#
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T5,MTEXT,401016,文字,5.0,-24.2583798882697,15#,R15#
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A4D,文字,5.0,-8.004189944134851,桥墩,桥墩 编号
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A4E,文字,17.5,-8.004189944134851,标高,设计桩底标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A4F,文字,32.5,-8.004189944134851,标高,设计泥面标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A50,文字,48.0,-8.004189944134851,标高,25年实测泥面标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A51,文字,65.0,-8.004189944134851,标高,设计最大冲刷线标高（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A53,文字,93.5,-8.004189944134851,桩基,桩基实际埋深（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A54,文字,108.5,-8.004189944134851,高程,平均泥面高程（m）
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A55,文字,5.0,-18.7583798882697,17#,L17#
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T14,MTEXT,402A5F,文字,5.0,-24.2583798882697,17#,R17#
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T25,MTEXT,4470F1,文字,30.0,-28.0,高程,顶面高程
data/dxf/01-赣江西支特大桥抗冲刷防护（水下不分散混凝土）.dxf,gb18030,BLOCKS,*T31,MTEXT,44D1B8,文字,5.0,-8.004189944134851,桥墩,桥墩 编号
