case_id,downstream_wse_m,delta_wse_mm,absolute_wse_m
Current,21.549342,0.0,21.901320
Protect05,21.549342,2.588,21.903908
Protect10,21.549342,4.002000000000001,21.905321
Protect20,21.549342,6.853,21.908173
DesignBed,21.549342,212.135,22.113455
Current,22.049342,0.0,22.383251
Protect05,22.049342,2.525,22.385777
Protect10,22.049342,3.803,22.387054
Protect20,22.049342,6.382,22.389633
DesignBed,22.049342,182.55599999999998,22.565807
Current,22.549342,0.0,22.862804
Protect05,22.549342,2.296,22.865101
Protect10,22.549342,3.448,22.866253
Protect20,22.549342,5.762,22.868567
DesignBed,22.549342,158.121,23.020926
