station_m elevation_m
0.000000000 27.980000000
16.920190665 28.020000000
28.463996293 17.900000000
58.113971916 16.400000000
76.054744311 11.200000000
78.000000000 11.579555480
80.000000000 11.987887007
82.000000000 12.338679168
84.000000000 12.592034547
86.000000000 12.733741576
87.247070197 12.766971005
88.000000000 12.610834827
89.247031447 12.322043372
90.000000000 12.217950970
91.246836687 12.020670478
92.000000000 11.975211162
93.246797937 11.880668059
94.000000000 11.780025225
95.246759187 11.599369599
96.000000000 11.479681994
97.246720436 11.271894467
98.000000000 11.209635877
99.247306350 11.100159541
100.000000000 11.046174520
101.247267600 10.952507096
102.000000000 10.833697553
103.247228850 10.633708295
104.000000000 10.420802503
105.246409182 10.065252602
106.000000000 9.935760182
107.246995096 9.717728212
108.000000000 9.646926404
109.246956346 9.524593305
110.000000000 9.311474129
111.246917595 8.951828196
112.000000000 8.744958907
113.246878845 8.394041317
114.000000000 8.176563948
115.247464759 7.806758000
116.000000000 7.577636660
117.246645091 7.188423758
118.000000000 7.025535894
119.246606341 6.748083216
120.000000000 6.764285793
121.246567590 6.787644471
122.000000000 6.496623389
123.247153504 6.019662058
124.000000000 5.580217796
125.247114754 4.870058123
126.000000000 4.628120352
127.247076004 4.263999731
127.291583188 4.270000000
128.000000000 4.376671143
129.246256336 4.606585097
130.000000000 4.686567011
131.246842250 4.841320549
132.000000000 4.765410905
133.246803500 4.647403161
134.000000000 4.576776794
135.246764749 4.457838643
136.000000000 4.356023456
137.246725999 4.179819439
138.000000000 4.284854270
139.247311913 4.448424642
140.000000000 4.452122141
141.247273163 4.447309995
142.000000000 4.479783827
143.246453495 4.523347858
144.000000000 4.543650006
145.247039409 4.568465258
146.000000000 4.579166904
147.247000659 4.589843256
148.000000000 4.592698217
149.246961908 4.592119110
150.000000000 4.589173441
151.246923158 4.580562255
152.000000000 4.573625257
153.247509072 4.559716194
154.000000000 4.550272186
155.246689404 4.533245130
156.000000000 4.522429764
157.246650654 4.503911381
158.000000000 4.492557626
159.246611903 4.473671447
160.000000000 4.421664147
161.247197817 4.335796176
162.000000000 4.315782117
163.247159067 4.283028508
164.000000000 4.265790696
165.247120317 4.237706981
166.000000000 4.255681050
167.246300649 4.285902582
168.000000000 4.274293302
169.246886563 4.255509172
170.000000000 4.247026247
171.246847813 4.233335473
172.000000000 4.246716121
173.246809062 4.269145406
174.000000000 4.269277178
175.246770312 4.269700096
176.000000000 4.270429891
177.247356226 4.271776181
178.000000000 4.272272531
179.247317476 4.273173064
180.000000000 4.273743244
181.246497808 4.274712115
182.000000000 4.262484046
183.246459057 4.242231568
184.000000000 4.230335747
185.247044971 4.210576832
186.000000000 4.201592820
187.247006221 4.186592947
188.000000000 4.177443387
189.246967471 4.162119893
190.000000000 4.152745712
191.247553385 4.136991620
192.000000000 4.127329303
193.246733717 4.111046584
194.000000000 4.101030845
195.246694966 4.084140764
196.000000000 4.076372812
197.246656216 4.063184631
198.000000000 3.945439762
199.247242130 3.750185210
200.000000000 3.593747603
201.247203380 3.334316592
202.000000000 3.109884359
203.247164630 2.737990135
204.000000000 2.596309664
205.246344961 2.361955761
206.000000000 2.138112160
207.246930876 1.768389550
208.000000000 1.846103841
209.246892125 1.976008787
210.000000000 2.082233194
211.246853375 2.260122167
212.000000000 2.591335866
213.246814624 3.142656799
214.000000000 3.364891614
215.247400539 3.737094858
216.000000000 3.832972813
217.247361788 3.997233071
218.000000000 4.036045481
219.246542120 4.106800646
220.000000000 4.142514211
221.246503370 4.208884964
222.000000000 4.453903873
223.247089284 4.866877991
224.000000000 4.906303898
225.247050534 4.978103121
226.000000000 4.949238904
227.247011783 4.905302582
228.000000000 4.970920808
229.246973033 5.078472869
230.000000000 5.117371977
231.246778274 5.172602541
232.000000000 5.340129460
233.246739523 5.596399561
233.855335041 5.400000000
234.000000000 5.351747008
235.246700773 4.911850512
236.000000000 5.300262682
237.246662023 5.924012403
238.000000000 5.910100947
239.247247937 5.879274990
240.000000000 5.838735393
241.247209186 5.771348598
242.000000000 5.791199904
243.246389518 5.828442302
244.000000000 5.753990363
245.246975432 5.637524732
246.000000000 5.545638380
247.246936682 5.400965527
248.000000000 5.351571678
249.246897932 5.276990455
250.000000000 5.235615874
251.246859181 5.173441569
252.000000000 5.139665415
253.247445095 5.088900136
254.000000000 5.060935175
255.247406345 5.018553284
256.000000000 4.994940775
257.246586677 4.958679095
258.000000000 4.946031332
259.246547927 4.926999915
260.000000000 4.871526538
261.247133841 4.780837083
262.000000000 4.688506220
263.247095091 4.536121555
264.000000000 4.446556468
265.247056340 4.298364272
266.000000000 4.215654773
267.247017590 4.078571247
268.000000000 4.097706646
269.246822830 4.129145463
270.000000000 4.069626284
271.246784080 3.970790377
272.000000000 3.983951364
273.246745330 4.005418637
274.000000000 4.024985113
275.246706579 4.057079761
276.000000000 4.073672236
277.247292494 4.100901974
278.000000000 4.117212047
279.247253743 4.144047420
280.000000000 4.160154121
281.246434075 4.186685842
282.000000000 4.205291928
283.246395325 4.235974237
284.000000000 4.246945430
285.246981239 4.265045657
286.000000000 4.262780548
287.246942489 4.259005446
288.000000000 4.256719191
289.246903738 4.252929629
290.000000000 4.251019863
291.246864988 4.247865309
292.000000000 4.245590121
293.247450902 4.241831834
294.000000000 4.239567686
295.246631234 4.235821816
296.000000000 4.233557355
297.246592484 4.229801633
298.000000000 4.243713142
299.247178398 4.266711655
300.000000000 4.279440217
301.247139648 4.300466770
302.000000000 4.321768453
303.247100897 4.356957867
304.000000000 4.372481719
305.247062147 4.398056024
306.000000000 4.380265331
307.246867387 4.350621011
308.000000000 4.352171923
309.246828637 4.354515501
310.000000000 4.339966557
311.246789886 4.315628937
312.000000000 4.307924030
313.246751136 4.294911037
314.000000000 4.288032764
315.247337050 4.276416644
316.000000000 4.293761091
317.247298300 4.322371042
318.000000000 4.364095579
319.246478632 4.433234873
320.000000000 4.459314156
321.246439882 4.502781090
322.000000000 4.506796163
323.247025796 4.514186579
324.000000000 4.585943918
325.246987045 4.706095975
326.000000000 4.798912247
327.246948295 4.954656251
328.000000000 5.025040458
329.246909545 5.144502551
330.000000000 5.335076885
331.247495459 5.654657211
332.000000000 5.850280532
333.246675791 6.179232094
334.000000000 6.334119885
335.246637040 6.596119701
336.000000000 6.703092494
337.246598290 6.886217987
338.000000000 7.076221683
339.247184204 7.396595911
340.000000000 7.787727911
341.247145454 8.440119355
342.000000000 8.595440297
343.247106703 8.854097223
344.000000000 8.998770165
345.246287036 9.234338183
346.000000000 9.317661109
347.246872950 9.443475436
348.000000000 9.504019170
348.858419066 9.560000000
349.246834199 9.579595991
350.000000000 9.606893621
351.246795449 9.630561718
352.000000000 9.714232513
353.247381363 9.842442288
354.000000000 9.731245690
355.247342613 9.544500580
356.000000000 9.392891136
357.246522945 9.144513563
358.000000000 9.231287996
359.246484194 9.380584975
360.000000000 9.543457090
361.247070108 9.820211978
362.000000000 9.991900382
363.247031358 10.283789055
364.000000000 10.431706397
365.246992608 10.683770268
366.000000000 10.850099798
367.246953857 11.131664688
368.000000000 11.320667357
369.247539771 11.638529179
370.000000000 11.771631730
371.246720104 11.995130876
372.000000000 12.180454277
373.246681353 12.487911391
374.000000000 12.677290732
375.246642603 12.988667226
376.000000000 13.177330626
377.247228517 13.484225508
378.000000000 13.668851674
379.247189767 13.965135046
380.000000000 14.146171921
381.247151016 14.431604739
382.000000000 14.602635674
383.246331348 14.865877747
384.000000000 15.004354301
385.246917263 15.207947363
386.000000000 15.303424787
387.246878512 15.430977994
388.000000000 15.252189433
390.000000000 14.702616069
392.000000000 14.043498469
394.000000000 13.291299391
396.000000000 12.488473631
398.000000000 11.713589886
398.067835631 11.690000000
412.504407092 12.020000000
427.847681560 15.600000000
450.404690266 16.590000000
472.844667483 16.640000000
490.059449411 19.920000000
499.791543623 23.300000000
510.535566272 23.300000000
514.492745489 19.840000000
531.643604399 19.290000000
