station_m elevation_m
0.000000000 27.980000000
16.920190665 28.020000000
28.463996293 17.900000000
58.113971916 16.400000000
60.000000000 16.219159434
62.000000000 16.045098490
64.000000000 15.864794327
66.000000000 15.661101813
68.000000000 15.422922964
70.000000000 15.144003775
72.000000000 14.821841392
74.000000000 14.456721668
76.000000000 14.050895087
76.054744311 14.039263985
78.000000000 13.886723695
80.000000000 13.697406523
82.000000000 13.479688103
84.000000000 13.238054116
86.000000000 12.976701316
87.247070197 12.805652402
88.000000000 12.542790217
89.247031447 12.103439075
90.000000000 11.922641666
91.246836687 11.620075742
92.000000000 11.522257481
93.246797937 11.357754631
94.000000000 11.223101008
95.246759187 10.998065482
96.000000000 10.857153145
97.246720436 10.622033926
98.000000000 10.546698158
99.247306350 10.420173122
100.000000000 10.357783556
101.247267600 10.252608416
102.000000000 10.127802230
103.247228850 9.919119474
104.000000000 9.701564752
105.246409182 9.339319398
106.000000000 9.206552150
107.246995096 8.984686037
108.000000000 8.912955296
109.246956346 8.791910682
110.000000000 8.581892870
111.246917595 8.231898461
112.000000000 8.034286161
113.246878845 7.705059031
114.000000000 7.505172621
115.247464759 7.172490167
116.000000000 6.970986761
117.246645091 6.636367708
118.000000000 6.511746158
119.246606341 6.305915692
120.000000000 6.369576344
121.246567590 6.476993845
122.000000000 6.238159835
123.247153504 5.847193956
124.000000000 5.455970035
125.247114754 4.815224536
126.000000000 4.603567413
127.247076004 4.263997473
127.291583188 4.270000000
128.000000000 4.368495041
129.246256336 4.553695183
130.000000000 4.594598374
131.246842250 4.670483457
132.000000000 4.543028968
133.246803500 4.337016152
134.000000000 4.214565065
135.246764749 4.014299915
136.000000000 3.867642667
137.246725999 3.625391184
138.000000000 3.696066270
139.247311913 3.812176153
140.000000000 3.792868654
141.247273163 3.758995771
142.000000000 3.778946959
143.246453495 3.809511892
144.000000000 3.825990132
145.247039409 3.850476269
146.000000000 3.863908718
147.247000659 3.883284220
148.000000000 3.893269250
149.246961908 3.907007250
150.000000000 3.913677670
151.246923158 3.922109644
152.000000000 3.925718201
153.247509072 3.929333878
154.000000000 3.930192466
155.246689404 3.929545240
156.000000000 3.928019300
157.246650654 3.923723680
158.000000000 3.920169236
159.246611903 3.912809251
160.000000000 3.866903262
161.247197817 3.789699788
162.000000000 3.774067384
163.247159067 3.747202805
164.000000000 3.732741746
165.247120317 3.708026876
166.000000000 3.727356206
167.246300649 3.758766306
168.000000000 3.747306959
169.246886563 3.727898049
170.000000000 3.718577203
171.246847813 3.702799828
172.000000000 3.714556864
173.246809062 3.733751874
174.000000000 3.731649995
175.246770312 3.727958166
176.000000000 3.725991618
177.247356226 3.722562328
178.000000000 3.720024978
179.247317476 3.715678756
180.000000000 3.712982147
181.246497808 3.708405611
182.000000000 3.692775385
183.246459057 3.666846006
184.000000000 3.651524953
185.247044971 3.626148962
186.000000000 3.613849341
187.247006221 3.593534873
188.000000000 3.581340086
189.246967471 3.561309992
190.000000000 3.549369499
191.247553385 3.529902622
192.000000000 3.518416158
193.246733717 3.499897724
194.000000000 3.489114782
195.246694966 3.472037111
196.000000000 3.464933687
197.246656216 3.454262749
198.000000000 3.339030942
199.247242130 3.149717822
200.000000000 2.998079367
201.247203380 2.748746111
202.000000000 2.531835248
203.247164630 2.174886076
204.000000000 2.043834718
205.246344961 1.829827331
206.000000000 1.620017120
207.246930876 1.276413535
208.000000000 1.371657483
209.246892125 1.533457454
210.000000000 1.660599485
211.246853375 1.875726495
212.000000000 2.230823294
213.246814624 2.823740095
214.000000000 3.072042669
215.247400539 3.488611537
216.000000000 3.611551902
217.247361788 3.820674098
218.000000000 3.886028784
219.246542120 3.999301401
220.000000000 4.059240851
221.246503370 4.162644464
222.000000000 4.427608440
223.247089284 4.868994517
224.000000000 4.922307960
225.247050534 5.011323018
226.000000000 4.989127399
227.247011783 4.950035690
228.000000000 5.015048685
229.246973033 5.116274584
230.000000000 5.149012889
231.246778274 5.191464009
232.000000000 5.351469926
233.246739523 5.597900459
233.855335041 5.400000000
234.000000000 5.351827888
235.246700773 4.919127076
236.000000000 5.314436557
237.246662023 5.951289469
238.000000000 5.944325732
239.247247937 5.921888609
240.000000000 5.883474165
241.247209186 5.814059820
242.000000000 5.828992382
243.246389518 5.851896404
244.000000000 5.765175603
245.246975432 5.622765187
246.000000000 5.512249646
247.246936682 5.332353042
248.000000000 5.259629373
249.246897932 5.143619286
250.000000000 5.076139402
251.246859181 4.969537162
252.000000000 4.908748341
253.247445095 4.813453413
254.000000000 4.759203638
255.247406345 4.674604153
256.000000000 4.626666359
257.246586677 4.552278747
258.000000000 4.518107886
259.246547927 4.466133499
260.000000000 4.392461590
261.247133841 4.274539742
262.000000000 4.167524083
263.247095091 3.993695354
264.000000000 3.892864928
265.247056340 3.728714082
266.000000000 3.637893963
267.247017590 3.489781617
268.000000000 3.503575081
269.246822830 3.528208385
270.000000000 3.465664000
271.246784080 3.363470074
272.000000000 3.375452312
273.246745330 3.396232073
274.000000000 3.416008317
275.246706579 3.449353170
276.000000000 3.467122495
277.247292494 3.496882965
278.000000000 3.514964418
279.247253743 3.545041586
280.000000000 3.563200917
281.246434075 3.593210760
282.000000000 3.613896429
283.246395325 3.647917229
284.000000000 3.660791202
285.246981239 3.681801287
286.000000000 3.681109594
287.246942489 3.679602708
288.000000000 3.678456130
289.246903738 3.676152086
290.000000000 3.674882307
291.246864988 3.672352242
292.000000000 3.670187517
293.247450902 3.666171502
294.000000000 3.663492486
295.246631234 3.658641406
296.000000000 3.655473168
297.246592484 3.649853955
298.000000000 3.662444686
299.247178398 3.682968556
300.000000000 3.694069462
301.247139648 3.712224397
302.000000000 3.731740289
303.247100897 3.763945708
304.000000000 3.777720685
305.247062147 3.800561409
306.000000000 3.781302678
307.246867387 3.749621151
308.000000000 3.750279189
309.246828637 3.751810785
310.000000000 3.737288176
311.246789886 3.713970334
312.000000000 3.707597409
313.246751136 3.698104227
314.000000000 3.694279780
315.247337050 3.689389594
316.000000000 3.711930661
317.247298300 3.751164593
318.000000000 3.800633574
319.246478632 3.884911655
320.000000000 3.921634495
321.246439882 3.985247723
322.000000000 4.003027628
323.247025796 4.035840560
324.000000000 4.124531878
325.246987045 4.275299439
326.000000000 4.388063694
327.246948295 4.579119512
328.000000000 4.672017227
329.246909545 4.830484405
330.000000000 5.045366318
331.247495459 5.406108705
332.000000000 5.626705777
333.246675791 5.996829372
334.000000000 6.175992565
335.246637040 6.476657461
336.000000000 6.605560182
337.246598290 6.822076607
338.000000000 7.030009798
339.247184204 7.375889121
340.000000000 7.779523248
341.247145454 8.447576491
342.000000000 8.609190963
343.247106703 8.873120276
344.000000000 9.018176629
345.246287036 9.250341946
346.000000000 9.330078174
347.246872950 9.448715439
348.000000000 9.505858568
348.858419066 9.560000000
349.246834199 9.580027818
350.000000000 9.609932797
351.246795449 9.640645067
352.000000000 9.728262350
353.247381363 9.860952699
354.000000000 9.750066283
355.247342613 9.559051894
356.000000000 9.401466276
357.246522945 9.137296910
358.000000000 9.210910928
359.246484194 9.332570892
360.000000000 9.475441712
361.247070108 9.713989188
362.000000000 9.859952242
363.247031358 10.105304738
364.000000000 10.223257990
365.246992608 10.423136616
366.000000000 10.556948382
367.246953857 10.783553329
368.000000000 10.939259411
369.247539771 11.202370258
370.000000000 11.303307485
371.246720104 11.475584674
372.000000000 11.631913263
373.246681353 11.895388699
374.000000000 12.061463784
375.246642603 12.340641644
376.000000000 12.514757467
377.247228517 12.806888710
378.000000000 12.989547318
379.247189767 13.295528788
380.000000000 13.491829462
381.247151016 13.819846248
382.000000000 14.028837504
383.246331348 14.377075896
384.000000000 14.582260157
385.246917263 14.923417953
386.000000000 15.120155322
387.246878512 15.446985082
388.000000000 15.408866017
390.000000000 15.308646777
392.000000000 15.207687072
394.000000000 15.103536334
396.000000000 14.993442129
398.000000000 14.874300784
398.067835631 14.870040024
400.000000000 14.902260045
402.000000000 14.919488987
404.000000000 14.916104743
406.000000000 14.887641570
408.000000000 14.829537872
410.000000000 14.737373584
412.000000000 14.607202396
412.504407092 14.567892615
414.000000000 14.750569382
416.000000000 14.957688438
418.000000000 15.122889407
420.000000000 15.249788255
422.000000000 15.345968726
424.000000000 15.424069567
426.000000000 15.502970033
427.847681560 15.600000000
450.404690266 16.590000000
472.844667483 16.640000000
490.059449411 19.920000000
499.791543623 23.300000000
510.535566272 23.300000000
514.492745489 19.840000000
531.643604399 19.290000000
