station_m elevation_m
0.000000000 27.980000000
16.920190665 28.020000000
28.463996293 17.900000000
58.113971916 16.400000000
76.054744311 11.200000000
87.247070197 9.560000000
88.000000000 9.637169567
89.247031447 9.816851315
90.000000000 10.010697860
91.246836687 10.306275635
92.000000000 10.540695660
93.246797937 10.868565939
94.000000000 10.992193751
95.246759187 11.129115805
96.000000000 11.169352936
97.246720436 11.175761515
98.000000000 11.216141386
99.247306350 11.236670475
100.000000000 11.241793074
101.247267600 11.218719179
102.000000000 11.130484439
103.247228850 10.965285507
104.000000000 10.767366879
105.246409182 10.429689072
106.000000000 10.309235081
107.246995096 10.105089533
108.000000000 10.043311673
109.246956346 9.937722220
110.000000000 9.736023619
111.246917595 9.397195900
112.000000000 9.203338270
113.246878845 8.873577182
114.000000000 8.667174980
115.247464759 8.311152681
116.000000000 8.085662588
117.246645091 7.692735907
118.000000000 7.519823437
119.246606341 7.211338912
120.000000000 7.199004868
121.246567590 7.158798014
122.000000000 6.820466317
123.247153504 6.253110352
124.000000000 5.756419321
125.247114754 4.954138636
126.000000000 4.668245631
127.247076004 4.264027582
127.291583188 4.270000000
128.000000000 4.389493783
129.246256336 4.685785220
130.000000000 4.818436040
131.246842250 5.069836723
132.000000000 5.049985711
133.246803500 5.015429472
134.000000000 4.986281810
135.246764749 4.919595293
136.000000000 4.839174386
137.246725999 4.682185883
138.000000000 4.790357235
139.247311913 4.946746684
140.000000000 4.940496596
141.247273163 4.911745042
142.000000000 4.927031291
143.246453495 4.939172229
144.000000000 4.940043946
145.247039409 4.933100690
146.000000000 4.925733294
147.247000659 4.908953937
148.000000000 4.897141732
149.246961908 4.875679601
150.000000000 4.862260082
151.246923158 4.839804364
152.000000000 4.826479418
153.247509072 4.805053010
154.000000000 4.792669595
155.246689404 4.773138971
156.000000000 4.761955773
157.246650654 4.744444496
158.000000000 4.734410950
159.246611903 4.718644914
160.000000000 4.668872853
161.247197817 4.587097323
162.000000000 4.569633146
163.247159067 4.541107845
164.000000000 4.526324260
165.247120317 4.502067530
166.000000000 4.522154474
167.246300649 4.555512280
168.000000000 4.545562928
169.246886563 4.529127927
170.000000000 4.521829776
171.246847813 4.509726353
172.000000000 4.523859373
173.246809062 4.547215810
174.000000000 4.547741475
175.246770312 4.548568654
176.000000000 4.549420860
177.247356226 4.550795638
178.000000000 4.551230985
179.247317476 4.551926791
180.000000000 4.552335828
181.246497808 4.552999508
182.000000000 4.540586827
183.246459057 4.520051093
184.000000000 4.508019177
185.247044971 4.488114615
186.000000000 4.479111771
187.247006221 4.464215986
188.000000000 4.455231472
189.246967471 4.440370480
190.000000000 4.431408972
191.247553385 4.416577234
192.000000000 4.407630739
193.246733717 4.392810657
194.000000000 4.383854174
195.246694966 4.369010356
196.000000000 4.362651655
197.246656216 4.352068232
198.000000000 4.236038164
199.247242130 4.043818797
200.000000000 3.889279946
201.247203380 3.633037384
202.000000000 3.410468752
203.247164630 3.041454534
204.000000000 2.901260129
205.246344961 2.668800753
206.000000000 2.445591850
207.246930876 2.075886648
208.000000000 2.152784955
209.246892125 2.279757055
210.000000000 2.383035656
211.246853375 2.553888611
212.000000000 2.879345482
213.246814624 3.418465628
214.000000000 3.631577544
215.247400539 3.985684388
216.000000000 4.068825614
217.247361788 4.209032240
218.000000000 4.231723338
219.246542120 4.273398620
220.000000000 4.290500179
221.246503370 4.324896312
222.000000000 4.550522307
223.247089284 4.932047797
224.000000000 4.953715469
225.247050534 4.999003994
226.000000000 4.956739148
227.247011783 4.895667049
228.000000000 4.954548642
229.246973033 5.057147830
230.000000000 5.096592880
231.246778274 5.157755805
232.000000000 5.330344538
233.246739523 5.594959862
233.855335041 5.400000000
234.000000000 5.351674726
235.246700773 4.905198299
236.000000000 5.288464748
237.246662023 5.904702781
238.000000000 5.888819307
239.247247937 5.860138105
240.000000000 5.824624929
241.247209186 5.771718119
242.000000000 5.803597656
243.246389518 5.865536861
244.000000000 5.808092404
245.246975432 5.722337612
246.000000000 5.649687813
247.246936682 5.537219062
248.000000000 5.506783844
249.246897932 5.462196672
250.000000000 5.437632681
251.246859181 5.400791668
252.000000000 5.380588912
253.247445095 5.349326670
254.000000000 5.331310175
255.247406345 5.302460102
256.000000000 5.285343170
257.246586677 5.257237669
258.000000000 5.248138054
259.246547927 5.232901356
260.000000000 5.178685297
261.247133841 5.088577352
262.000000000 4.995900831
263.247095091 4.841983580
264.000000000 4.751090563
265.247056340 4.600188878
266.000000000 4.515671607
267.247017590 4.375424512
268.000000000 4.392641761
269.246822830 4.420966724
270.000000000 4.359661723
271.246784080 4.258069202
272.000000000 4.269713388
273.246745330 4.288932357
274.000000000 4.307305445
275.246706579 4.337696799
276.000000000 4.353416832
277.247292494 4.379449611
278.000000000 4.395171373
279.247253743 4.421236682
280.000000000 4.436983723
281.246434075 4.463075171
282.000000000 4.481490573
283.246395325 4.511964853
284.000000000 4.522858866
285.246981239 4.540897026
286.000000000 4.538620941
287.246942489 4.534860239
288.000000000 4.532592885
289.246903738 4.528843936
290.000000000 4.526958620
291.246864988 4.523840578
292.000000000 4.521583048
293.247450902 4.517846537
294.000000000 4.515592626
295.246631234 4.511862276
296.000000000 4.509611434
297.246592484 4.505892071
298.000000000 4.519842394
299.247178398 4.542943121
300.000000000 4.555767879
301.247139648 4.577023869
302.000000000 4.598520495
303.247100897 4.634141309
304.000000000 4.650006688
305.247062147 4.676296583
306.000000000 4.659043636
307.246867387 4.630478708
308.000000000 4.632807601
309.246828637 4.636656423
310.000000000 4.623152565
311.246789886 4.600768580
312.000000000 4.594370924
313.246751136 4.583715106
314.000000000 4.578350819
315.247337050 4.569351459
316.000000000 4.588288591
317.247298300 4.619492895
318.000000000 4.662671998
319.246478632 4.733935214
320.000000000 4.761007427
321.246439882 4.805499447
322.000000000 4.809608612
323.247025796 4.816118312
324.000000000 4.886540770
325.246987045 5.002969106
326.000000000 5.092438816
327.246948295 5.240646982
328.000000000 5.305114786
329.246909545 5.412386464
330.000000000 5.594055654
331.247495459 5.896283966
332.000000000 6.079889021
333.246675791 6.386454626
334.000000000 6.526497946
335.246637040 6.762027021
336.000000000 6.852225390
337.246598290 7.006779108
338.000000000 7.179586545
339.247184204 7.472248294
340.000000000 7.847793284
341.247145454 8.476938150
342.000000000 8.620427050
343.247106703 8.863651972
344.000000000 9.001860551
345.246287036 9.231478956
346.000000000 9.313727839
347.246872950 9.441073228
348.000000000 9.503074641
348.858419066 9.560000000
349.246834199 9.579156220
350.000000000 9.604597384
351.246795449 9.624854258
352.000000000 9.708096116
353.247381363 9.839503638
354.000000000 9.733242263
355.247342613 9.559889715
356.000000000 9.419402619
357.246522945 9.194162104
358.000000000 9.297305223
359.246484194 9.477087702
360.000000000 9.659882214
361.247070108 9.971522577
362.000000000 10.164887294
363.247031358 10.493162598
364.000000000 10.662806482
365.246992608 10.949860151
366.000000000 11.136046302
367.246953857 11.447555147
368.000000000 11.651830202
369.247539771 11.989007898
370.000000000 12.128488470
371.246720104 12.351751516
372.000000000 12.527885183
373.246681353 12.802175789
374.000000000 12.957220205
375.246642603 13.184295233
376.000000000 13.301282574
377.247228517 13.450995688
378.000000000 13.513489984
379.247189767 13.558877077
380.000000000 13.556822694
381.247151016 13.486014434
382.000000000 13.412025437
383.246331348 13.225680008
384.000000000 13.075859588
385.246917263 12.791573868
386.000000000 12.609222747
387.246878512 12.337000000
398.067835631 11.690000000
412.504407092 12.020000000
427.847681560 15.600000000
450.404690266 16.590000000
472.844667483 16.640000000
490.059449411 19.920000000
499.791543623 23.300000000
510.535566272 23.300000000
514.492745489 19.840000000
531.643604399 19.290000000
