case_id,river_station,wse_m
Current,1000.0,22.651262283325195
Current,600.0,22.383251190185547
Current,500.0,22.20298194885254
Current,400.0,22.31751251220703
Current,0.0,22.049230575561523
Protect05,1000.0,22.653661727905273
Protect05,600.0,22.38577651977539
Protect05,500.0,22.199722290039062
Protect05,400.0,22.31751251220703
Protect05,0.0,22.049230575561523
Protect10,1000.0,22.654874801635742
Protect10,600.0,22.387054443359375
Protect10,500.0,22.19809341430664
Protect10,400.0,22.31751251220703
Protect10,0.0,22.049230575561523
Protect20,1000.0,22.65732192993164
Protect20,600.0,22.389633178710938
Protect20,500.0,22.194808959960938
Protect20,400.0,22.31751251220703
Protect20,0.0,22.049230575561523
DesignBed,1000.0,22.824831008911133
DesignBed,600.0,22.565807342529297
DesignBed,500.0,21.972028732299805
DesignBed,400.0,22.31751251220703
DesignBed,0.0,22.049230575561523
