case,river_m,section,wse_m,raw_area_m2,effective_area_m2,blockage_m2,velocity_m_s,velocity_head_m,energy_m,friction_slope,hydraulic_radius_m,froude
现状河床线,-500.0,西支上游500米,22.673001,8307.372,8307.372,0.000,3.129750,0.499423,23.172424,0.00031607,12.136953,0.285515
现状河床线,-100.0,西支上游100米,22.420322,7474.627,7474.627,0.000,3.478434,0.616903,23.037225,0.00035993,12.900219,0.307509
现状河床线,0.0,西支桥下,22.190000,7111.198,6751.198,360.000,3.851168,0.756196,22.946196,0.00041643,13.471406,0.332281
现状河床线,100.0,西支下游100米,22.301766,8007.120,8007.120,0.000,3.247110,0.537580,22.839346,0.00040887,10.574046,0.317707
现状河床线,500.0,西支下游500米,22.049342,7291.895,7291.895,0.000,3.565603,0.648209,22.697552,0.00030011,15.343497,0.288877
0.5m防冲刷,-500.0,西支上游500米,22.678049,8310.794,8310.794,0.000,3.128461,0.499012,23.177061,0.00031567,12.141040,0.285349
0.5m防冲刷,-100.0,西支上游100米,22.425632,7477.669,7477.669,0.000,3.477019,0.616401,23.042033,0.00035947,12.904635,0.307330
0.5m防冲刷,0.0,西支桥下,22.186824,7109.633,6729.633,380.000,3.863509,0.761050,22.947874,0.00042087,13.428892,0.333874
0.5m防冲刷,100.0,西支下游100米,22.301766,8007.120,8007.120,0.000,3.247110,0.537580,22.839346,0.00040887,10.574046,0.317707
0.5m防冲刷,500.0,西支下游500米,22.049342,7291.895,7291.895,0.000,3.565603,0.648209,22.697552,0.00030011,15.343497,0.288877
1.0m防冲刷,-500.0,西支上游500米,22.680596,8312.521,8312.521,0.000,3.127812,0.498805,23.179400,0.00031546,12.143102,0.285265
1.0m防冲刷,-100.0,西支上游100米,22.428311,7479.204,7479.204,0.000,3.476306,0.616148,23.044460,0.00035924,12.906862,0.307240
1.0m防冲刷,0.0,西支桥下,22.185224,7108.845,6718.845,390.000,3.869713,0.763496,22.948720,0.00042312,13.407624,0.334675
1.0m防冲刷,100.0,西支下游100米,22.301766,8007.120,8007.120,0.000,3.247110,0.537580,22.839346,0.00040887,10.574046,0.317707
1.0m防冲刷,500.0,西支下游500米,22.049342,7291.895,7291.895,0.000,3.565603,0.648209,22.697552,0.00030011,15.343497,0.288877
2.0m防冲刷,-500.0,西支上游500米,22.685736,8316.007,8316.007,0.000,3.126501,0.498387,23.184122,0.00031506,12.147263,0.285096
2.0m防冲刷,-100.0,西支上游100米,22.433718,7482.302,7482.302,0.000,3.474867,0.615638,23.049356,0.00035878,12.911358,0.307059
2.0m防冲刷,0.0,西支桥下,22.182000,7107.256,6697.256,410.000,3.882187,0.768426,22.950427,0.00042766,13.365066,0.336289
2.0m防冲刷,100.0,西支下游100米,22.301766,8007.120,8007.120,0.000,3.247110,0.537580,22.839346,0.00040887,10.574046,0.317707
2.0m防冲刷,500.0,西支下游500米,22.049342,7291.895,7291.895,0.000,3.565603,0.648209,22.697552,0.00030011,15.343497,0.288877
