plan,short_id,case_number,case_id,case_cn,blockage_m2,geometry,flow,boundary_id,downstream_wse_m,boundary_offset_from_base_m,river_station,wse_m,energy_grade_m,velocity_mps,flow_area_m2,froude,delta_wse_vs_current_same_boundary_m,delta_energy_vs_current_same_boundary_m,delta_velocity_vs_current_same_boundary_mps
p01,Current_Low,1,Current,现状河床线,360.000,g01,f01,Low,21.549342,-0.500000,600,21.901320,22.582396,3.622089,7178.178,0.325814,0.000000,0.000000,0.000000
p01,Current_Low,1,Current,现状河床线,360.000,g01,f01,Low,21.549342,-0.500000,500,21.710043,22.525583,3.986065,6522.724,0.343430,0.000000,0.000000,0.000000
p02,Protect05_Low,2,Protect05,0.5m防冲刷,380.000,g02,f01,Low,21.549342,-0.500000,600,21.903908,22.584705,3.621346,7179.651,0.325718,0.002588,0.002310,-0.000743
p02,Protect05_Low,2,Protect05,0.5m防冲刷,380.000,g02,f01,Low,21.549342,-0.500000,500,21.706247,22.527174,3.999181,6501.331,0.344789,-0.003796,0.001591,0.013117
p03,Protect10_Low,3,Protect10,1.0m防冲刷,390.000,g03,f01,Low,21.549342,-0.500000,600,21.905321,22.585968,3.620940,7180.457,0.325666,0.004002,0.003572,-0.001149
p03,Protect10_Low,3,Protect10,1.0m防冲刷,390.000,g03,f01,Low,21.549342,-0.500000,500,21.704454,22.528074,4.005724,6490.711,0.345467,-0.005589,0.002491,0.019659
p04,Protect20_Low,4,Protect20,2.0m防冲刷,410.000,g04,f01,Low,21.549342,-0.500000,600,21.908173,22.588512,3.620121,7182.080,0.325561,0.006853,0.006117,-0.001968
p04,Protect20_Low,4,Protect20,2.0m防冲刷,410.000,g04,f01,Low,21.549342,-0.500000,500,21.700840,22.529892,4.018885,6469.456,0.346830,-0.009203,0.004309,0.032820
p05,DesignBed_Low,5,DesignBed,设计河床线,280.000,g05,f01,Low,21.549342,-0.500000,600,22.113455,22.772228,3.562059,7299.149,0.318123,0.212135,0.189833,-0.060030
p05,DesignBed_Low,5,DesignBed,设计河床线,280.000,g05,f01,Low,21.549342,-0.500000,500,21.446108,22.660769,4.864004,5345.390,0.462897,-0.263935,0.135185,0.877939
p06,Current_Base,1,Current,现状河床线,360.000,g01,f02,Base,22.049342,0.000000,600,22.383251,23.015112,3.488335,7453.412,0.308759,0.000000,0.000000,0.000000
p06,Current_Base,1,Current,现状河床线,360.000,g01,f02,Base,22.049342,0.000000,500,22.202982,22.963385,3.847626,6757.413,0.326567,0.000000,0.000000,0.000000
p07,Protect05_Base,2,Protect05,0.5m防冲刷,380.000,g02,f02,Base,22.049342,0.000000,600,22.385777,23.017393,3.487658,7454.858,0.308674,0.002525,0.002281,-0.000677
p07,Protect05_Base,2,Protect05,0.5m防冲刷,380.000,g02,f02,Base,22.049342,0.000000,500,22.199722,22.965019,3.859962,6735.817,0.327821,-0.003260,0.001635,0.012336
p08,Protect10_Base,3,Protect10,1.0m防冲刷,390.000,g03,f02,Base,22.049342,0.000000,600,22.387054,23.018549,3.487315,7455.592,0.308631,0.003803,0.003437,-0.001020
p08,Protect10_Base,3,Protect10,1.0m防冲刷,390.000,g03,f02,Base,22.049342,0.000000,500,22.198093,22.965849,3.866143,6725.049,0.328449,-0.004889,0.002464,0.018516
p09,Protect20_Base,4,Protect20,2.0m防冲刷,410.000,g04,f02,Base,22.049342,0.000000,600,22.389633,23.020876,3.486624,7457.069,0.308543,0.006382,0.005764,-0.001711
p09,Protect20_Base,4,Protect20,2.0m防冲刷,410.000,g04,f02,Base,22.049342,0.000000,500,22.194809,22.967522,3.878576,6703.491,0.329713,-0.008173,0.004137,0.030950
