case_id,case_cn,river_station,downstream_wse_min_m,downstream_wse_max_m,absolute_wse_min_m,absolute_wse_max_m,absolute_wse_range_m,relative_effect_min_m,relative_effect_max_m,relative_effect_range_m,relative_effect_range_mm
Current,现状河床线,500,21.549342,22.549342,21.710043,22.692568,0.982525,0.000000,0.000000,0.000000,0.000
Current,现状河床线,600,21.549342,22.549342,21.901320,22.862804,0.961484,0.000000,0.000000,0.000000,0.000
DesignBed,设计河床线,500,21.549342,22.549342,21.446108,22.488522,1.042414,-0.263935,-0.204046,0.059889,59.889
DesignBed,设计河床线,600,21.549342,22.549342,22.113455,23.020926,0.907471,0.158121,0.212135,0.054014,54.014
Protect05,0.5m防冲刷,500,21.549342,22.549342,21.706247,22.689587,0.983340,-0.003796,-0.002981,0.000815,0.815
Protect05,0.5m防冲刷,600,21.549342,22.549342,21.903908,22.865101,0.961193,0.002296,0.002588,0.000292,0.292
Protect10,1.0m防冲刷,500,21.549342,22.549342,21.704454,22.688089,0.983635,-0.005589,-0.004478,0.001111,1.111
Protect10,1.0m防冲刷,600,21.549342,22.549342,21.905321,22.866253,0.960932,0.003448,0.004002,0.000554,0.554
Protect20,2.0m防冲刷,500,21.549342,22.549342,21.700840,22.685062,0.984222,-0.009203,-0.007505,0.001698,1.698
Protect20,2.0m防冲刷,600,21.549342,22.549342,21.908173,22.868567,0.960394,0.005762,0.006853,0.001091,1.091
