plan,short_id,case,blockage_m2,river_station,wse_m,energy_grade_m,flow_m3s,velocity_mps,flow_area_m2,froude,delta_wse_vs_current_m
p01,Current,现状河床线,360.000,1000,22.651262,23.159105,25999.994,3.135311,8292.640,0.286232,0.000000
p01,Current,现状河床线,360.000,600,22.383251,23.015112,25999.994,3.488335,7453.412,0.308759,0.000000
p01,Current,现状河床线,360.000,500,22.202982,22.963385,25999.994,3.847626,6757.413,0.326567,0.000000
p01,Current,现状河床线,360.000,400,22.317513,22.854197,25999.994,3.242320,8018.949,0.317286,0.000000
p01,Current,现状河床线,360.000,0,22.049231,22.705784,25999.994,3.565636,7291.827,0.288880,0.000000
p02,Protect05,0.5m防冲刷,380.000,1000,22.653662,23.161304,25999.994,3.134696,8294.266,0.286153,0.002399
p02,Protect05,0.5m防冲刷,380.000,600,22.385777,23.017393,25999.994,3.487658,7454.858,0.308674,0.002525
p02,Protect05,0.5m防冲刷,380.000,500,22.199722,22.965019,25999.994,3.859962,6735.817,0.327821,-0.003260
p02,Protect05,0.5m防冲刷,380.000,400,22.317513,22.854197,25999.994,3.242320,8018.949,0.317286,0.000000
p02,Protect05,0.5m防冲刷,380.000,0,22.049231,22.705784,25999.994,3.565636,7291.827,0.288880,0.000000
p03,Protect10,1.0m防冲刷,390.000,1000,22.654875,23.162418,25999.994,3.134385,8295.088,0.286113,0.003613
p03,Protect10,1.0m防冲刷,390.000,600,22.387054,23.018549,25999.994,3.487315,7455.592,0.308631,0.003803
p03,Protect10,1.0m防冲刷,390.000,500,22.198093,22.965849,25999.994,3.866143,6725.049,0.328449,-0.004889
p03,Protect10,1.0m防冲刷,390.000,400,22.317513,22.854197,25999.994,3.242320,8018.949,0.317286,0.000000
p03,Protect10,1.0m防冲刷,390.000,0,22.049231,22.705784,25999.994,3.565636,7291.827,0.288880,0.000000
p04,Protect20,2.0m防冲刷,410.000,1000,22.657322,23.164661,25999.994,3.133759,8296.746,0.286032,0.006060
p04,Protect20,2.0m防冲刷,410.000,600,22.389633,23.020876,25999.994,3.486624,7457.069,0.308543,0.006382
p04,Protect20,2.0m防冲刷,410.000,500,22.194809,22.967522,25999.994,3.878576,6703.491,0.329713,-0.008173
p04,Protect20,2.0m防冲刷,410.000,400,22.317513,22.854197,25999.994,3.242320,8018.949,0.317286,0.000000
p04,Protect20,2.0m防冲刷,410.000,0,22.049231,22.705784,25999.994,3.565636,7291.827,0.288880,0.000000
p05,DesignBedCAD,设计河床线-CAD01直接提取,280.000,1000,22.835306,23.328188,25999.994,3.088787,8417.543,0.280248,0.184044
p05,DesignBedCAD,设计河床线-CAD01直接提取,280.000,600,22.576809,23.190306,25999.994,3.437167,7564.370,0.302314,0.193558
p05,DesignBedCAD,设计河床线-CAD01直接提取,280.000,500,21.962107,23.088219,25999.994,4.691635,5541.778,0.447357,-0.240875
p05,DesignBedCAD,设计河床线-CAD01直接提取,280.000,400,22.317513,22.854197,25999.994,3.242320,8018.949,0.317286,0.000000
p05,DesignBedCAD,设计河床线-CAD01直接提取,280.000,0,22.049231,22.705784,25999.994,3.565636,7291.827,0.288880,0.000000
