plan,river_station,baseline_wse_m,rerun_wse_m,difference_m,tolerance_m,parity_verified
p01,1000,22.652805,22.652805,0.000000328,0.000001000,True
p01,600,22.384876,22.384876,0.000000251,0.000001000,True
p01,500,22.203979,22.203979,0.000000492,0.000001000,True
p01,400,22.317513,22.317513,-0.000000488,0.000001000,True
p01,0,22.049231,22.049231,-0.000000424,0.000001000,True
p02,1000,22.655313,22.655313,0.000000492,0.000001000,True
p02,600,22.387516,22.387516,0.000000022,0.000001000,True
p02,500,22.200783,22.200783,-0.000000224,0.000001000,True
p02,400,22.317513,22.317513,-0.000000488,0.000001000,True
p02,0,22.049231,22.049231,-0.000000424,0.000001000,True
p03,1000,22.656572,22.656572,0.000000342,0.000001000,True
p03,600,22.388845,22.388845,0.000000444,0.000001000,True
p03,500,22.199181,22.199181,-0.000000397,0.000001000,True
p03,400,22.317513,22.317513,-0.000000488,0.000001000,True
p03,0,22.049231,22.049231,-0.000000424,0.000001000,True
p04,1000,22.658895,22.658895,0.000000493,0.000001000,True
p04,600,22.391289,22.391289,-0.000000243,0.000001000,True
p04,500,22.195702,22.195702,-0.000000401,0.000001000,True
p04,400,22.317513,22.317513,-0.000000488,0.000001000,True
p04,0,22.049231,22.049231,-0.000000424,0.000001000,True
