plan,river_station,baseline_wse_m,rerun_wse_m,difference_m,tolerance_m,parity_verified,reference
p01,1000,22.651262,22.651262,0.000000283,0.000001000,True,v2_frozen_baseline
p01,600,22.383251,22.383251,0.000000190,0.000001000,True,v2_frozen_baseline
p01,500,22.202982,22.202982,-0.000000051,0.000001000,True,v2_frozen_baseline
p01,400,22.317513,22.317513,-0.000000488,0.000001000,True,v2_frozen_baseline
p01,0,22.049231,22.049231,-0.000000424,0.000001000,True,v2_frozen_baseline
p02,1000,22.653662,22.653662,-0.000000272,0.000001000,True,v2_frozen_baseline
p02,600,22.385777,22.385777,-0.000000480,0.000001000,True,v2_frozen_baseline
p02,500,22.199722,22.199722,0.000000290,0.000001000,True,v2_frozen_baseline
p02,400,22.317513,22.317513,-0.000000488,0.000001000,True,v2_frozen_baseline
p02,0,22.049231,22.049231,-0.000000424,0.000001000,True,v2_frozen_baseline
p03,1000,22.654875,22.654875,-0.000000198,0.000001000,True,v2_frozen_baseline
p03,600,22.387054,22.387054,0.000000443,0.000001000,True,v2_frozen_baseline
p03,500,22.198093,22.198093,0.000000414,0.000001000,True,v2_frozen_baseline
p03,400,22.317513,22.317513,-0.000000488,0.000001000,True,v2_frozen_baseline
p03,0,22.049231,22.049231,-0.000000424,0.000001000,True,v2_frozen_baseline
p04,1000,22.657322,22.657322,-0.000000070,0.000001000,True,v2_frozen_baseline
p04,600,22.389633,22.389633,0.000000179,0.000001000,True,v2_frozen_baseline
p04,500,22.194809,22.194809,-0.000000040,0.000001000,True,v2_frozen_baseline
p04,400,22.317513,22.317513,-0.000000488,0.000001000,True,v2_frozen_baseline
p04,0,22.049231,22.049231,-0.000000424,0.000001000,True,v2_frozen_baseline
