plan,short_id,case,blockage_m2,river_station,wse_m,energy_grade_m,velocity_mps,flow_area_m2,froude,delta_wse_vs_p01_m,delta_energy_grade_vs_p01_m,delta_velocity_vs_p01_mps,delta_flow_area_vs_p01_m2,delta_froude_vs_p01
p01,Current,现状河床线,360.000,600,22.383251,23.015112,3.488335,7453.412,0.308759,0.000000,0.000000,0.000000,0.000,0.000000
p01,Current,现状河床线,360.000,500,22.202982,22.963385,3.847626,6757.413,0.326567,0.000000,0.000000,0.000000,0.000,0.000000
p02,Protect05,0.5m防冲刷,380.000,600,22.385777,23.017393,3.487658,7454.858,0.308674,0.002525,0.002281,-0.000677,1.446,-0.000086
p02,Protect05,0.5m防冲刷,380.000,500,22.199722,22.965019,3.859962,6735.817,0.327821,-0.003260,0.001635,0.012336,-21.596,0.001254
p03,Protect10,1.0m防冲刷,390.000,600,22.387054,23.018549,3.487315,7455.592,0.308631,0.003803,0.003437,-0.001020,2.180,-0.000129
p03,Protect10,1.0m防冲刷,390.000,500,22.198093,22.965849,3.866143,6725.049,0.328449,-0.004889,0.002464,0.018516,-32.364,0.001882
p04,Protect20,2.0m防冲刷,410.000,600,22.389633,23.020876,3.486624,7457.069,0.308543,0.006382,0.005764,-0.001711,3.657,-0.000216
p04,Protect20,2.0m防冲刷,410.000,500,22.194809,22.967522,3.878576,6703.491,0.329713,-0.008173,0.004137,0.030950,-53.922,0.003146
p05,DesignBed,设计河床线-中心方案,280.000,600,22.565807,23.180326,3.440037,7558.057,0.302675,0.182556,0.165215,-0.048298,104.645,-0.006085
p05,DesignBed,设计河床线-中心方案,280.000,500,21.972029,23.081282,4.646346,5595.795,0.433411,-0.230953,0.117897,0.798719,-1161.618,0.106844
