manning_n,case,downstream_wse_fixed_m,bridge_wse_m,delta_bridge_wse_vs_same_n_current_m,up100_wse_m,delta_up100_wse_vs_same_n_current_m,bridge_velocity_m_s,bridge_froude
0.025,现状河床线,22.049342,22.128591,0.000000,22.347897,0.000000,3.868506,0.334419
0.025,0.5m防冲刷,22.049342,22.125295,-0.003296,22.353155,0.005257,3.880992,0.336034
0.025,1.0m防冲刷,22.049342,22.123634,-0.004957,22.355807,0.007909,3.887269,0.336847
0.025,2.0m防冲刷,22.049342,22.120287,-0.008304,22.361159,0.013262,3.899892,0.338483
0.030,现状河床线,22.049342,22.190000,0.000000,22.420322,0.000000,3.851168,0.332281
0.030,0.5m防冲刷,22.049342,22.186824,-0.003176,22.425632,0.005310,3.863509,0.333874
0.030,1.0m防冲刷,22.049342,22.185224,-0.004776,22.428311,0.007989,3.869713,0.334675
0.030,2.0m防冲刷,22.049342,22.182000,-0.008000,22.433718,0.013396,3.882187,0.336289
0.035,现状河床线,22.049342,22.261218,0.000000,22.504086,0.000000,3.831241,0.329828
0.035,0.5m防冲刷,22.049342,22.258178,-0.003040,22.509456,0.005370,3.843418,0.331396
0.035,1.0m防冲刷,22.049342,22.256647,-0.004571,22.512165,0.008079,3.849538,0.332186
0.035,2.0m防冲刷,22.049342,22.253562,-0.007656,22.517631,0.013545,3.861843,0.333774
