equivalent_strip_width_m,case,target_blocked_area_m2,obstruction_top_m
50.0,现状河床线,360.0,7.166142406524106
50.0,0.5m防冲刷,380.0,7.5582983399530015
50.0,1.0m防冲刷,390.0,7.75437630666746
50.0,2.0m防冲刷,410.0,8.146532240096331
100.0,现状河床线,360.0,4.15156764419207
100.0,0.5m防冲刷,380.0,4.349587546875066
100.0,1.0m防冲刷,390.0,4.448597498216568
100.0,2.0m防冲刷,410.0,4.646617400899565
200.0,现状河床线,360.0,2.706165839402149
200.0,0.5m防冲刷,380.0,2.8148616827613404
200.0,1.0m防冲刷,390.0,2.8692095684865357
200.0,2.0m防冲刷,410.0,2.97790536178821
